X,Y,SP_ID,id,latitude,longitude
102.75,37.750064506789414,1,1,37.7500645000,102.7500000000
85.5,41.500082157048084,2,2,41.5000821000,85.5000000000
106.0,37.250062508192961,3,3,37.2500625000,106.0000000000
96.0,36.000057815726528,4,4,36.0000578000,96.0000000000
105.0,35.000054348414345,5,5,35.0000543000,105.0000000000
109.0,36.000057815726528,6,6,36.0000578000,109.0000000000
114.75,43.500093947945693,7,7,43.5000939000,114.7500000000
3.70111,32.474886571775869,8,8,32.4748865000,3.7011100000
-69.73064,-16.008856160673403,9,9,-16.0088560000,-69.7306400000
-71.0,-30.000040086676748,10,10,-30.0000400000,-71.0000000000
-72.02603,-13.08602274917412,11,11,-13.0860220000,-72.0260300000
105.0,35.000054348414345,12,12,35.0000543000,105.0000000000
121.999999999999787,13.000012653571657,13,13,13.0000126000,122.0000000000
120.69132,28.142385821691054,14,14,28.1423858000,120.6913200000
-70.0,-15.000014945136384,15,15,-15.0000140000,-70.0000000000
3.0,28.00003551355606,16,16,28.0000355000,3.0000000000
121.16667,16.833347187454123,17,17,16.8333471000,121.1666700000
-73.91667,-42.666758798364299,18,18,-42.6667580000,-73.9166700000
9.0,34.000051111223506,19,19,34.0000511000,9.0000000000
-75.25,-10.000009459356527,20,20,-10.0000090000,-75.2500000000
-72.25,-13.000012653571664,21,21,-13.0000120000,-72.2500000000
8.75,34.500052702374035,22,22,34.5000527000,8.7500000000
112.25,37.666734168615406,23,23,37.6667341000,112.2500000000
106.0,37.250062508192961,24,24,37.2500625000,106.0000000000
102.75,37.750064506789414,25,25,37.7500645000,102.7500000000
105.0,35.000054348414345,26,26,35.0000543000,105.0000000000
172.984,1.421001291195304,27,27,1.4210012900,172.9840000000
178.0,-18.000018696440215,28,28,-18.0000180000,178.0000000000
167.0,-16.000016149831986,29,29,-16.0000160000,167.0000000000
159.0,-8.000007456139851,30,30,-8.0000074000,159.0000000000
147.0,-6.000005528219649,31,31,-6.0000055000,147.0000000000
179.144779999999855,-8.517197966099825,32,32,-8.5171979000,179.1447800000
-172.13333,-13.800013552620472,33,33,-13.8000130000,-172.1333300000
166.933,-0.517000469437496,34,34,-0.5170004000,166.9330000000
134.621,7.503006970828359,35,35,7.5030069700,134.6210000000
-169.86667,-19.033350092906783,36,36,-19.0333500000,-169.8666700000
-159.78516,-21.248443301963349,37,37,-21.2484430000,-159.7851600000
171.236,7.113006593044581,38,38,7.1130065900,171.2360000000
158.162,6.924006410877799,39,39,6.9240064100,158.1620000000
-175.0,-20.000021455120052,40,40,-20.0000210000,-175.0000000000
35.78007,31.355573514130992,41,41,31.3555735000,35.7800700000
36.58333,30.333370903248024,42,42,30.3333709000,36.5833300000
35.61188993650002,30.68151206851859,43,43,30.6815120000,35.6118899000
35.58333,30.750041947629768,44,44,30.7500419000,35.5833300000
35.82527,31.161253004980047,45,45,31.1612530000,35.8252700000
35.54781,30.827922145821706,46,46,30.8279221000,35.5478100000
35.75605,31.008172608207808,47,47,31.0081726000,35.7560500000
35.556093862299981,30.498061459156915,48,48,30.4980614000,35.5560938000
35.44144,30.32986089456293,49,49,30.3298608000,35.4414400000
35.75,31.166713019201953,50,50,31.1667130000,35.7500000000
-2.56247,33.849560642691415,51,51,33.8495606000,-2.5624700000
-2.820957680700001,33.707982344582476,52,52,33.7079823000,-2.8209576000
-1.88151,32.448086495982558,53,53,32.4480864000,-1.8815100000
-1.87936,34.338632182808745,54,54,34.3386321000,-1.8793600000
-1.54034,32.244365924093074,55,55,32.2443659000,-1.5403400000
-1.78552,33.915700848029587,56,56,33.9157008000,-1.7855200000
-2.55645,33.21060870478496,57,57,33.2106087000,-2.5564500000
-3.07021,33.533109672663457,58,58,33.5331096000,-3.0702100000
-2.3138,33.893820780000482,59,59,33.8938207000,-2.3138000000
-1.96537,33.173298594132007,60,60,33.1732985000,-1.9653700000
-2.11053,34.009271140082483,61,61,34.0092711000,-2.1105300000
-6.0,32.000045248005087,62,62,32.0000452000,-6.0000000000
9.61547,36.10632819863546,63,63,36.1063281000,9.6154700000
9.21237,35.648056567622525,64,64,35.6480565000,9.2123700000
9.39902,35.982697753447241,65,65,35.9826977000,9.3990200000
9.15529,36.18304847685954,66,66,36.1830484000,9.1552900000
9.615727492099996,35.99214250442089,67,67,35.9921425000,9.6157274900
9.5,36.25005872110745,68,68,36.2500587000,9.5000000000
9.33333,36.000057815726535,69,69,36.0000578000,9.3333300000
9.320377670899999,36.340558853318761,70,70,36.3405588000,9.3203776700
9.46114,36.365409144275887,71,71,36.3654091000,9.4611400000
9.38447,35.796767091159886,72,72,35.7967670000,9.3844700000
49.0,31.500043896703424,73,73,31.5000438000,49.0000000000
60.5,28.500036607105251,74,74,28.5000366000,60.5000000000
50.75,32.166715708072282,75,75,32.1667157000,50.7500000000
55.58333,32.500046643050503,76,76,32.5000466000,55.5833300000
47.066,34.663253233483715,77,77,34.6632532000,47.0660000000
56.15,32.016715293800168,78,78,32.0167152000,56.1500000000
47.065,34.314222104732522,79,79,34.3142221000,47.0650000000
57.0,37.500063498381841,80,80,37.5000634000,57.0000000000
53.0,32.000045248005122,81,81,32.0000452000,53.0000000000
55.0,35.500056051948818,82,82,35.5000560000,55.0000000000
51.41667,35.666726633052633,83,83,35.6667266000,51.4166700000
116.096980759899978,38.985587365254162,84,84,38.9855873000,116.0969800000
114.96,38.73906868353933,85,85,38.7390686000,114.9600000000
115.65,39.016739912747255,86,86,39.0167399000,115.6500000000
115.48,38.866069242560791,87,87,38.8660692000,115.4800000000
