"AidData Project ID","gef_id","Agency","Lead agency","Secondary agency(ies)","Region","List of regions","Country","List of participating countries","Countries listed by Code (ISO 3166-1 alpha-2)","Focal Area","Focal Area single-letter-code","List of project's focal areas","Title(2)","GEF replenishment phase","Type acronym","Type","Status","Trust Fund acronym","Trust Fund","Executing partner / agency","Type of executing partner / agency","Type acronym of parent (or empty if standalone)","Category (empty: standalone, parent, child)","Biosafety project?","Targeted research project?","National Capacity Self Assessement (NCSA)?","National Adaptation Programme of Action (NAPA)?","isNonExpedited","National Portfolio Formulation Exercises (NPFE)?","National communications project?","Small Grants Programme (SGP)?","Sustainable Forest Management (SFM)?","Requires second review?","Primary GEFSEC Program Manager","ID of secondary GEFSEC Program Manager","UNDP Project ID","World Bank Project ID","GEF3 OP list","GEF4 SP list","GEF4 SP-ID list","GEF5 FA Objective list","Keyword ID list","Code of business plan allocation item","World Bank Trust Fund number","(Sum of all) Approved PPG(s)","Project Preparation Grant (PPG)","Project Development Facility block A (PDF-A)","Project Development Facility block B (PDF-B)","Project Development Facility block C (PDF-C)","Pre-Investment Facility (PRIF)","Agency fees paid separately for PPG","Agency fees paid separately for PDF-B","GEF Project Grant PIF stage","GEF Project Grant CEO approve stage","GEF Project Grant CEO endorse stage","Agency Fee PIF stage","Agency Fee CEO approve stage","Agency Fee CEO endorse stage","Cofinance PIF stage","Cofinance CEO approve stage","Cofinance CEO endorse stage","Date of receipt or first PMIS entry","PIF Clearance or PIF Approval Date","Expected date of entry into work program","Date of entry into work program","Date of project approval","Date of CEO approval (MSP / EA)","Date of CEO endorsement (FSP)","Date of dropping (before project approval)","Date of cancelation (after project approval)","Date of PIF rejection by CEO","Date of technical rejection by Program Manager","Date of rejection by CEO at CEO approve stage","Date of rejection by CEO at CEO endorse stage","Date of Parent / Program rejection by Council","Date of approval by Agency","Expected date of Grant signing","Actual date of Grant signing","Expected date of implementation start","Actual date of implementation start","Expected date of closure","Actual date of closure","Expected date of financial closure","Date of financial closure","Expected date of Internal Completion Report (ICR)","Date of Internal Completion Report (ICR)","Expected date of Parent endorsement by Council","Date of Parent endorsement by Council","Expected date of effectiveness","Date of effectiveness","Expected date of mid term review","Date of mid term review","GEFNewRegionList"
"906001152955","2975","World Bank","World Bank","","Asia","","Philippines","","PH","Multi Focal Area","M","M;B;L;","Mindanao Rural Development Program Phase II - Natural Resource Management Project","GEF - 4","FP","Full Size Project","Under Implmentation","GET","GEF Trust Fund","Department of Agriculture","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Nicole Glineur","329964","","96836","-15-","BD-1;BD-2;LD-2;LD-3;",";1;2;16;17;","","","","","135000","135000","","","","","","","6486363","","6351000","662136","","648600","123828000","","10247000","14-Oct-05","15-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","9-Sep-09","","","","","","","","","","","1-Sep-09","16-Oct-09","31-Dec-14","","","","","","","","","","31-Dec-11","","Asia,"
"906001152957","5691","UNEP","UNEP","","AFR","","Tanzania","","TZ","Land Degradation","L","L","Sustainable Land Management of Lake Nyasa Catchment in Tanzania","GEF - 5","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","Vice President's Office, Ministry of Agriculture","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","441409","","","","","","LD-1; LD-3; ","","","","70000","70000","","","","","6650","","1298980","1298980","","123403","123403","","5250000","4450000","","27-Jan-14","10-Mar-14","","","10-Mar-14","23-May-16","","","","","","","","","","","","","","","","","","","","","","","","","","AFR,"
"906001152959","3028","UNDP","UNDP","","Asia","","Lebanon","","LB","Land Degradation","L","L","SFM Safeguarding and Restoring Lebanon's Woodland Resources","GEF - 4","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Environment of the Government of Lebanon","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","","3371","","-15-","LD-3;",";17;","","","","","0","","","","","","","","980000","","","98000","","","1275000","","","7-Dec-05","5-Oct-07","","","5-Oct-07","2-Apr-08","","","","","","","","","","","","","16-Dec-08","30-Dec-12","","","","","","","","","","31-Dec-12","","ECA,"
"906001152961","5775","UNEP","UNEP","","CEX","AFR, Asia","Global","Ethiopia, Indonesia, India, Kenya, Niger","1W, IN,ID,ET,KE,NE","Land Degradation","L","L","Building the Foundation for Forest Landscape Restoration at Scale","GEF - 5","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","World Resources Institute","Foundation","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","381992","","","","","","LD-3; ","","","","100000","100000","","","","","9500","","1900000","1900000","","180500","180500","","9300000","6250000","","14-Mar-14","8-May-14","","","8-May-14","31-Aug-15","","","","","","","","","","","","","","","","","","","","","","","","","","AFR, Asia, CEX,"
"906001152963","5750","UNEP","UNEP","","CEX","","Global","","1W","Land Degradation","L","L","Mainstreaming Sustainable Management of Tea Production Landscapes","GEF - 5","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","Rainforest Alliance","NGO","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ulrich Apel","","","","","","","LD-1; LD-1; LD-1; LD-3; LD-3; LD-4; ","","","","0","","","","","","","","1999601","1999601","","189962","189962","","12140000","12140000","","11-Mar-14","","","","13-Mar-14","13-Mar-14","","","","","","","","","","","","","","","","","","","","","","","","","","CEX,"
"906001152965","3316","UNDP","UNDP","","LAC","","Haiti","","HT","Land Degradation","L","L","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management","GEF - 3","MSP","Medium Size Project","Project Completion","GET","GEF Trust Fund","Ministry of Environment in close collaboration with the Ministry of Agriculture","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3414","","-15-","","","","","","","0","","","","","","","","0","","","","","","175000","","","27-Feb-07","","","","","","","","","","","","","","17-Dec-07","","","","17-Dec-07","1-Jul-11","1-Dec-11","","","","","","","","","","","SIDS,"
"906001152967","3176","UNDP","UNDP","","Asia","","Timor Leste","","TP","Land Degradation","L","L","LDC/SIDS Portfolio Project: Capacitiy Building in and Mainstreaming of Sustainable Land Management in East Timor","GEF - 3","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","NDCF","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3405","","-15-","","","","","","","0","","","","","","","","0","","","","","","98750","","","28-Apr-06","","","","","","","","","","","","","","20-Feb-07","","","","20-Feb-07","","","","","","","","","","","","","SIDS,"
"906001152969","3196","UNDP","UNDP","","Asia","","Samoa","","WS","Land Degradation","L","L","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Samoa","GEF - 3","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Natural Resources, Environment and Meteorology in collbaoration with PEG (Project Executive Group)","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3403","","-15-","","","","","","","0","","","","","","","","0","","","","","","48000","","","7-Jun-06","","","","","","","","","","","","","","9-Feb-07","","","","9-Feb-07","","","","","","","","","","","","","SIDS,"
"906001152971","3213","UNDP","UNDP","","Asia","","Niue","","NU","Land Degradation","L","L","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Niue","GEF - 3","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","Department of Agriculture, Forestry & Fisheries; Department of Environment; Department of Justice, Lands and Survey; Economic Planning Development & Statistics Unit","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3400","","-15-","","","","","","","0","","","","","","","","0","","","","","","1005339","","","","","","","","","","","","","","","","","28-Feb-07","","","","28-Feb-07","","","","","","","","","","","","","SIDS,"
"906001152973","3221","UNDP","UNDP","","AFR","","Congo DR","","ZR","Land Degradation","L","L","LDC/SIDS Portfolio Project: Legal and Institutional Capacity Building to Combat Land Degradation and Deforestation in Democratic Republic of Congo","GEF - 3","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","Ministere de l' Environment, Conservation de la Nature, Eaux et Forets","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3383","","-15-","","","","","","","0","","","","","","","","0","","","","","","","","","30-Aug-06","","","","","","","","","","","","","","14-Dec-07","","","","14-Dec-07","","","","","","","","","","","","","AFR,"
