"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","udel_air_temp_v4_01_yearly_max.2002.mean",536,536,124340048.503339,-67.1643817672862,0.0740573663972926,4,5
"2","ltdr_yearly_ndvi_mean.2002.mean",87,87,76249445.0961467,-166.176243890385,0.0740573663972926,4,5
"4","accessibility_map.na.mean",55,55,10974057.5727531,-37.7257045033901,0.0236842350806276,4,5
"8","dist_to_roads.na.mean",6,6,1898824.57090959,-221.158459870683,0.00404413469937758,4,5
"16","<leaf>",2,2,186843.581459674,-128.506288083,0,0,0
"17","<leaf>",4,4,1209133.08477527,-283.988031145713,0,0,0
"9","latitude",49,49,6130334.06315382,13.2303730221931,0.00994444814077953,4,5
"18","longitude",19,19,777281.443932292,-118.220527664555,0.00249040888120395,4,5
"36","<leaf>",14,14,145900.391057906,-68.1788318092793,0.000428899616552574,0,0
"37","<leaf>",5,5,321723.49179234,-216.66616066847,0,0,0
"19","treecover2000.na.mean",30,30,4390768.89074053,109.085685136852,0.00994444814077953,4,5
"38","<leaf>",4,4,1706406.5402267,273.301241383313,0,0,0
"39","dist_to_roads.na.mean",26,26,1173659.75066789,44.6161472270856,0.00331715879617819,4,5
"78","dist_to_roads.na.mean",20,20,662552.330593181,-31.2463366567328,0.00113397372038583,4,0
"156","dist_to_roads.na.mean",18,18,526278.280357459,-58.9647844683237,0.00113397372038583,4,5
"312","wdpa_5km.na.sum",10,10,347899.414927045,-130.345390879687,0.00113397372038583,4,2
"624","<leaf>",2,2,87198.5078191498,-333.5462982523,0,0,0
"625","<leaf>",8,8,39928.0540283896,-45.5775587517367,0.000181637518596831,0,0
"313","<leaf>",8,8,75170.2630399772,46.7832810481263,0.000493007697273292,0,0
"157","<leaf>",2,2,37260.4635228052,261.9538486245,0,0,0
"79","<leaf>",6,6,98651.7344646318,241.226843680918,0,0,0
"5","latitude",32,32,53037639.7286431,-332.159360060389,0.0740573663972926,4,5
"10","srtm_elevation_500m.na.mean",16,16,29947261.8237981,-256.799741589365,0.0740573663972926,4,1
"20","<leaf>",2,2,13631636.3272559,-527.077537529,0,0,0
"21","treecover2000.na.mean",14,14,409201.521181246,-259.193740013205,0.00154336891200632,4,4
"42","<leaf>",11,11,194718.165461781,-180.245854421488,0,0,0
"43","<leaf>",3,3,22580.7903420529,-360.725274960903,0,0,0
"11","longitude",16,16,19426790.842802,-546.433444329712,0.0205266603629966,4,5
"22","<leaf>",12,12,16362995.7788734,-712.370597519942,0,0,0
