"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","ltdr_yearly_ndvi_mean.2002.mean",312,312,569101334.498607,-9.43016910322318,0.122740671975551,4,0
"2","ltdr_yearly_ndvi_mean.2002.mean",26,26,73214187.4508776,-299.396256793559,0.0227731495011796,4,5
"4","<leaf>",8,8,28706865.907304,-1382.31682305286,0,0,0
"5","ltdr_yearly_ndvi_mean.2002.mean",18,18,31547091.771716,-96.3901958013047,0.0183426454953083,4,5
"10","srtm_elevation_500m.na.mean",14,14,20335049.2556086,-354.577699088461,0.00989566839810632,4,5
"20","<leaf>",7,7,8761026.70654931,-761.142422810538,0,0,0
"21","treecover2000.na.mean",7,7,5942384.45794134,-407.580879156852,0.006500913472152,4,5
"42","<leaf>",3,3,2176988.34235335,-666.099011417448,0,0,0
"43","<leaf>",4,4,65717.5831263148,35.8287405749269,0,0,0
"11","<leaf>",4,4,773218.486492602,502.738969800239,0,0,0
"3","udel_air_temp_v4_01_yearly_min.2002.mean",286,286,460233078.264257,21.1489378810661,0.122740671975551,4,4
"6","dist_to_all_rivers.na.mean",22,22,324706568.073635,-318.788653735726,0.122740671975551,4,0
"12","<leaf>",2,2,157961017.434295,-617.118043607,0,0,0
"13","longitude",20,20,16944614.5440872,-214.287957929093,0.0064511618351686,4,5
"26","<leaf>",9,9,11287385.186004,-414.085459654524,0,0,0
"27","udel_air_temp_v4_01_yearly_max.2002.mean",11,11,1985864.54862229,21.1165684101906,0.00135382934401918,4,5
"54","<leaf>",3,3,209466.351092985,-238.24069563225,0,0,0
"55","dist_to_roads.na.mean",8,8,1005932.11116462,89.3384191213073,0.000875249044372695,4,5
"110","<leaf>",4,4,488253.277246309,110.305790574918,0,0,0
"111","<leaf>",4,4,19573.4347471777,49.1265585863683,0,0,0
"7","udel_precip_v4_01_yearly_mean.2002.mean",264,264,111425874.413721,59.3062901994018,0.0226069932020211,4,3
"14","srtm_slope_500m.na.mean",21,21,38616350.0762217,255.62198645356,0.0226069932020211,4,5
"28","udel_air_temp_v4_01_yearly_max.2002.mean",11,11,3245408.48761332,-12.8422458653733,0.00401212705042438,4,5
"56","<leaf>",6,6,521559.261949445,-209.259659522001,2.83651019107951e-05,0,0
"57","<leaf>",5,5,440542.367089405,387.348171814559,0,0,0
"29","<leaf>",10,10,22170092.173131,645.075173491211,0,0,0
"15","srtm_elevation_500m.na.mean",243,243,60279033.7524348,19.7090033020296,0.00737989286336339,4,5
"30","gpw_v3_density.2000.mean",205,205,49852741.7659703,-21.6568763620359,0.00737989286336339,4,5
"60","udel_air_temp_v4_01_yearly_max.2002.mean",165,165,45264727.7408632,-49.5180513765531,0.00737989286336339,4,5
