"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","GEF.Project.Grant.CEO.endorse.stage","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"3024",15768914,454.0440063477,59.4133114215,0.8245019317,3605.0700636943,7.4944267273,0,0,-19.03335,-169.86667,NA,NA,NA,NA,NA,NA,0.4335664336,1987.50756836,4.13800462515,3031818,1,3,NA,NA,NA,NA,3,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"3043",362869.5,796.3404541016,27.5211581292,0.7873980999,523.1512605042,65.5300140381,0,0,16.700017,-23,NA,NA,NA,NA,NA,NA,2.6386946387,465.550292969,10.0061112327,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3044",341025.0625,1680.6229248047,69.103985056,1.7202832699,461.7677725118,6.4872031212,0,0.0015545343,16.0833462,-22.83333,NA,NA,NA,NA,NA,NA,0.6876456876,710.92388916,10.3334560045,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3046",363305.75,771.7670288086,36.5667311412,1.3275897503,553.1925925926,65.5300140381,0,0,16.8000171,-23,NA,NA,NA,NA,NA,NA,2.0815850816,469.699157715,9.93641102312,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3047",360660.9375,700.4442138672,18.4657534247,0.7068936825,506.6440677966,65.5300064087,0,0,16.5833468,-22.93333,NA,NA,NA,NA,NA,NA,2.6736596737,394.650054932,10.0409320612,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3048",362303.625,999.3449707031,35.3783783784,1.5244404078,551.385620915,65.5300140381,0,0,16.8218377,-22.913311,NA,NA,NA,NA,NA,NA,1.9158878505,441.599273682,9.85897960784,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3049",361877.78125,936.1428222656,33.4207708779,1.3364082575,539.0167364017,65.5300064087,0,0,16.747937,-22.92688,NA,NA,NA,NA,NA,NA,3.0951276102,468.466949463,9.92035334504,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3050",360825.15625,745.2341308594,24.3575883576,0.8592492342,514.062992126,65.5300140381,0,0,16.6580968,-22.886173,NA,NA,NA,NA,NA,NA,3.5271867612,414.715087891,9.9547039717,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3052",336754.84375,1543.7595214844,47.0555555556,1.3419834375,438.7046979866,6.487203598,0,2.58430714725e-05,15.9688389,-22.789457,NA,NA,NA,NA,NA,NA,0,522.000671387,10.3887879663,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"3053",360696.8125,763.1428833008,23.7078651685,0.8704612255,513.2857142857,65.5300140381,0,0,16.6500169,-22.88333,NA,NA,NA,NA,NA,NA,3.351981352,413.839233398,9.95841315668,3100000,1,3,NA,NA,NA,NA,3,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
