"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","srtm_slope_500m.na.mean",314,314,3891889.60816938,1.00905816611076,0.14167197033961,4,5
"2","srtm_elevation_500m.na.mean",228,228,535329.728415824,-4.06180122341639,0.0194843862734522,4,1
"4","longitude",21,21,168868.876059609,-32.4589360112923,0.0194843862734522,4,5
"8","longitude",16,16,16033.6902343593,-3.47076786037265,0.00239414918677589,4,1
"16","dist_to_roads.na.mean",13,13,1270.90078716647,-7.10604108079666,0.000161662635149153,4,5
"32","<leaf>",6,6,585.025292427582,-11.5233451214363,0,0,0
"33","longitude",7,7,56.7023649726246,-0.513097738865842,6.84585260795842e-06,4,3
"66","<leaf>",5,5,2.2446147042796,-0.838793706767106,2.11678234432092e-07,0,0
"67","<leaf>",2,2,27.8144476443724,5.16137451761,0,0,0
"17","<leaf>",3,3,5445.02510677254,59.7161812151014,0,0,0
"9","<leaf>",5,5,42418.8479934826,-64.4892328643003,0,0,0
"5","udel_precip_v4_01_yearly_mean.2002.mean",207,207,325215.029269569,0.162497751837264,0.0068640855588882,4,5
"10","udel_precip_v4_01_yearly_mean.2002.mean",57,57,227433.410094182,6.02327291142704,0.0068640855588882,4,5
"20","latitude",47,47,145090.953669165,1.82585392720807,0.00342449796294711,4,3
"40","longitude",40,40,119212.780421619,-1.55453793505363,0.00342449796294711,4,0
"80","v4composites_calibrated.2002.mean",35,35,70943.4874840189,-4.49941910684029,0.00342449796294711,4,5
"160","v4composites_calibrated.2002.mean",25,25,19311.0058940697,-9.24324128078346,0.00116629748948562,4,5
"320","latitude",18,18,5564.45966961484,-4.7850995461462,0.000587744015148923,4,5
"640","<leaf>",12,12,2562.36144171828,-6.6613323601135,0,0,0
"641","wdpa_5km.na.sum",6,6,714.663403074722,1.14980215021236,9.59145225368746e-06,4,5
"1282","<leaf>",3,3,388.800187142352,-0.529609950008306,0,0,0
"1283","<leaf>",3,3,288.534342578992,13.1376704634876,0,0,0
"321","<leaf>",7,7,9207.44514509173,-14.6123923150264,0,0,0
"161","udel_precip_v4_01_yearly_max.2002.mean",10,10,30923.4823815066,1.35531292959543,0.00138193285629591,4,5
"322","<leaf>",3,3,1589.26984019756,-3.69929356417933,0,0,0
"323","<leaf>",7,7,23955.8824187032,4.88165662886445,0,0,0
"81","longitude",5,5,36971.5325955552,24.8118559606842,0.00253311958492329,4,5
"162","<leaf>",2,2,22026.2942353939,46.6571725169909,0,0,0
"163","<leaf>",3,3,5086.61657134797,5.82822934521979,0,0,0
"41","udel_precip_v4_01_yearly_max.2002.mean",7,7,17901.6286924607,32.4393386583469,0.000812242371174617,4,5
