"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","years_since_implementation","treatment","ndvi_pre_post_diff","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"15",3443.8690982016,4587.57772627206,780.15115227909,2.66128143605196,800.250392707866,6.82794171764359,0,30.4623059709,10.907929,35.410168,322.82188305065,3.75038166726739,108.652265199746,27.5253604635303,21.4259117606943,23.9712892136805,0,3590.06179777,0,1,-583.754938254,0.0341006084150727,0.0341006084150727,-17118.6077136376,0.0341006084150727,-408.301708748005,5220,"PSG: Sustainable Land Management Project 2"
"16",2086.85748734157,2711.95460199359,473.725116254856,0.483269532314114,791.551325277188,1.10322403907776,257.429992676,43.3434177952,7.742074,34.410168,186.7,19,101.091666666667,30.45,26.1,27.925,0,3308.70498636,0,1,-378.327967878,0.231071561491035,0.231071561491035,-1637.27619892627,0.231071561491035,-408.301708748005,5220,"PSG: Sustainable Land Management Project 2"
"73",2176.76091112364,2981.38042143536,300.842762129034,0.736195232246602,274.649154440767,7.68880067583384,0,0.416571746085,14.606603,-10.389831,173.6,0,37.8083333333333,35.1,24,29.0416666666667,0,2032.32917818,0,1,62.7608876862,0.60374744743263,0.60374744743263,103.952220341608,0.60374744743263,234.722731571193,5270,"GGW Natural Resources Management in a Changing Climate in Mali "
