sector_value	sector_trans	ad_sector_codes	ad_sector_names	ad_purpose_codes	ad_purpose_names
Biodiversity	Biodiversity	410	General environmental protection	41030	Bio-diversity
Land Degradation	Land Degradation	410	General environmental protection	41000	General environmental protection, combination of purposes
Multi Focal Area	Multi Focal Area	410	General environmental protection	41000	General environmental protection, combination of purposes
