gef_id,location_count,iba_area
4464,4,898900
4470,6,255358
4494,10,418911
4513,30,3542714
4526,3,21000
4527,30,9381593
4562,4,1155328
4586,5,88400
4589,4,200000
4605,5,23479
4618,7,105749
4623,27,9122369
4640,5,1629100
4651,2,400000
4653,4,228338
4655,1,19200
4662,3,34773
4677,3,1007134
4708,5,13744
4716,3,31214
4729,1,4976800
4730,2,138278
4731,13,654000
4743,2,75861
4760,3,57758
4763,20,13026468
4768,2,122368
4769,6,98
4770,5,223000
4771,8,25657127
4773,3,1770
4777,14,732000
4780,2,265000
4810,4,58467
4811,6,65562
4827,5,1302100
4835,4,3210772
4836,12,12000
4839,1,27000
4841,1,100000
4842,27,1630713
4844,4,86003
4846,5,186845
4848,8,2306336
4855,1,323000
4865,4,64600
4867,1,72256
4868,4,1381328
4870,2,18591
4883,9,135963
4892,5,289399
4896,1,7000
4916,18,864000
4930,7,486173
4937,1,400
5005,1,41548
5034,4,1701000
5057,2,6
5058,4,86274
5062,5,1294500
5065,3,124420
5073,2,142000
5078,4,12
5088,14,434593
5089,17,247084
5091,25,191800
5096,2,38400
5099,2,266020
5132,4,96273
5137,18,1024305
5159,9,600235
5160,2,96000
5170,1,2
5171,10,595548
5172,1,0
5201,5,278980
5210,4,528000
5264,2,876000
5288,7,336000
5337,1,8952
5338,4,143016
5355,7,32624
5368,6,1033600
5371,6,216900
5392,3,25260
5403,4,295103
5420,1,1000
5440,5,607800
5448,5,13900
5454,10,3283630
5483,9,795454
5485,7,408900
5486,3,776700
5512,7,464350
5524,6,127200
5528,1,65529
5529,3,332700
5533,6,274404
5534,2,96000
5537,3,1314000
5546,12,833919
5549,4,97242
5593,4,463445
5601,1,0
5605,1,4500
5613,1,155
5626,6,84768
5634,14,9783043
5639,1,21200
5653,3,142031
5657,1,9590
5663,1,1811541
5665,7,262860
5688,76,23185992
5692,17,601186
5712,7,532700
5720,1,8952
5721,1,0
5726,3,529602
5730,3,390100
5731,24,7918387
5735,23,2680724
5738,1,15107
5744,1,4261
5749,9,9000
5761,6,18
5774,8,44059
5776,3,26872
5784,3,474355
5796,1,132000
5808,1,700000
5810,9,4037251
5820,2,122368
5826,21,427717
5846,1,3
5880,28,8463444
5882,1,438000
5886,6,308008
6990,1,3500
9111,1,180000
9211,18,8700844
9289,6,727311
9347,4,549996
9352,5,901900
9382,6,539026
