"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"WBh2CuAx7riqj9vYzBSr8Z","906001153099","","2010","C","USD","4468776.19447"
"tNuPAempNdVTL5ZBVZFsad","906001153101","","2010","C","USD","2858340.31852"
"FM5wiTpeMmbzpzj9GJz8ab","906001153111","","2007","C","USD","7528500.75285"
"NN65eJSbq5mt4yuJFYyypN","906001153155","","2010","C","USD","7334450.96396"
"KNMcjFEfeufuCmDvoRGRAT","906001153159","","2008","C","USD","3584596.47685"
"mxSztcQsXomC27cnqMTJBb","906001153161","","2011","C","USD","5051800.69068"
"CDH3jSrEjzVm8cJqi8rAE3","906001153163","","2011","C","USD","4484459.7928"
"vP5XCAkoYy5pq94DywUCTZ","906001153173","","2011","C","USD","4933399.11199"
"7EVvo4fAqr8QTQMbJU5F9b","906001153175","","2011","C","USD","2664035.52047"
"aeNwnfsncJztJsxNYz8fWH","906001153177","","2009","C","USD","4233252.196"
"x8fCxmxoaCgtEbGQB6haq2","906001153183","","2009","C","USD","3259604.19092"
"bUudMNCAmR499SfFnsigJ4","906001153185","","2010","C","USD","6286672.25482"
"nk5tQPRwMSVnWXJfgVCc6H","906001153187","","2010","C","USD","6667749.37133"
"UGfXNeG8DK7zGxRNACQSRL","906001153189","","2009","C","USD","2133805.69372"
"MvswAj6hChiCbADNKHvZBV","906001153195","","2010","C","USD","2667072.50629"
"uVkw6jnBc5UNnTWf3Gv76m","906001153199","","2012","C","USD","4439882.89925"
"P6uHrxbPN2ZXzhWnF85nJ4","906001153201","","2014","C","USD","2884848.0"
"XMbwbFFS7JEtEvBjYQrNjA","906001153205","","2010","C","USD","6286672.25482"
"BKBhFdVqnTKcMBVMzdhTQB","906001153213","","2010","C","USD","7250539.60604"
"F42uFiZnncTAZcZEtYLBmD","906001153215","","2012","C","USD","2771047.84979"
"3if2uC6xzYLhy5oKF4KgNC","906001153217","","2009","C","USD","5287612.44576"
"HERtY9ACYnxw7hGAswg9uR","906001153219","","2007","C","USD","5377500.53775"
"7oQ9Mzk2XKRK6HJ5PkkYAN","906001153223","","2011","C","USD","6906758.75678"
"4QajbcdQZX4bcMrRRMPSWC","906001153227","","2007","C","USD","7528500.75285"
"yfDoHTF7duxTUCuEsmkjL3","906001153237","","2009","C","USD","11641443.539"
"UUxGL48rwbbVQytoUWB4TQ","906001153243","","2004","C","USD","35400390.625"
"aVnwuWT8GQdwCyg2cLrXiG","906001153247","","2009","C","USD","7408191.343"
"JDTp7bjipYgWTmkV8huxmS","906001153251","","2006","C","USD","8108421.17456"
"mUfqZHTUMj3PHkoQB7begj","906001152857","","2007","D","USD","6391697.13917"
"opsa74DwSFA7SUJmEUSh8X","906001152859","","2010","D","USD","7124895.22213"
"yetwkVJVEhwoq5WDaML7dX","906001152861","","2012","D","USD","5047445.99233"
"Fsvft6gmfyaruxWC25v2v8","906001152869","","2009","D","USD","3032066.88538"
"ZNatm4iqcpawCZtGnnFpKG","906001152871","","2011","D","USD","12826837.6912"
"wPmBDQVYGY6s7RpYRWGSMG","906001152879","","2011","D","USD","2990364.08485"
"u4nYHJFs5qui2co7eFDute","906001152881","","2005","D","USD","9180289.03104"
"kE2zrQsZGp5gwyWZnPFegZ","906001152887","","2011","D","USD","2936359.15146"
"RvDxm9yUcoCphhSX7HGHMB","906001152889","","2007","D","USD","10755001.0755"
"8fcL3Z8pQx7KAhgZEmovAj","906001152891","","2006","D","USD","3503996.29329"
"n8wzqWW5MxzWcLCK52KKJ8","906001152893","","2007","D","USD","5575355.99054"
"vM2qyodp99GL6hLPyaJwiL","906001152895","","2011","D","USD","4144055.25407"
"3wAESPL5ce8fHL8PDuLgtb","906001152897","","2010","D","USD","7491617.77033"
"ohukvTJs2WR6V9hEwfNcVK","906001152901","","2005","D","USD","3553660.27008"
"xvf4ooFrtakbtbXzvbfdZN","906001152905","","2011","D","USD","4134188.45585"
"djTbjJxTJ8EwXJN9jyvZf7","906001152907","","2006","D","USD","202294.683192"
"uF3HRJfiM9gTua47mrsXwa","906001152909","","2010","D","USD","7239198.44929"
"pRcKw5eCUyQUjmPPMqUzWL","906001152911","","2008","D","USD","2048340.84392"
"gV47C8EVEu2y78PJxqEuuX","906001152913","","2010","D","USD","5029337.80386"
