Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
536,,,,,N,,Chabolo National Park,,,N,,,
536,,,,,N,,The Liberian Forest,,,N,,,
537,2008,61522,,,Y,,Belovezhskaya National Park,Belarus,,,,,
539,2094,2008,,,Y,,Bialowieza Primeval Forest ,Poland,,,,,
541,18437,61609,,,Y,,Bwindi,Uganda,,Y,,0.60,
541,40002,315238,,,Y,,Kibale,Uganda,,Y,,0.62,Kibale – Semuliki
541,28175,902529,,,Y,,Mt. Elgon,Uganda,,Y,,0.80,
541,9043,,,,Y,,Tanzania sites (CBBP),Tanzania,,N,,0.69,
541,19297,,,,Y,,"Uzungwa Scarp Forest Reserve, Udzungwa Mountains National Park",Tanzania,,N,Udzungwa,1.10,
541,40042,,,,Y,,Semuliki,Uganda,,N,,0.62,Kibale – Semuliki
541,220271,,,,Y,,East Usambaras,Tanzania,,N,,0.99,
541,303351,,,,Y,,Chome Forest Reserve Ngezi,Tanzania,,N,,0.14,
541,350036,,,,Y,,Jozani-Chwaka Bay National Park,Tanzania,,N,Jozani,0.18,
541,,,,,N,http://fortuneofafrica.com/ug/sango-bay-forest-reserve/,Sango Bay Forest Reserve,Uganda,,N,,,
541,,,,,N,,Kenya sites (CBBP),Kenya,,N,,0.69,
541,,,,,N,,Uganda sites (CBBP),Uganda,,N,,0.70,
543,67754,220033,,,Y,,Carpathians Biosphere Reserve,Ukraine,,,,,
566,142700,344546,,,Y,,Palava,Czech Republic,,Y,,,
566,645,,,,Y,,Krkonose,Czech Republic,,N,,,
566,26059,,,,Y,,Sumava,Czech Republic,,N,,,
567,67750,903141,903142,,Y,,Eastern Carpathians Biosphere Reserve,Slovak Republic,,,,,
567,148026,173006,,,Y,,Poloniny National Park ,Slovak Republic,,,,,
591,168258,,,,Y,,Caguanes National Park,Cuba,,,,,
591,168267,,,,Y,,The Lanzanillo Pajonal Fragoso Fauna Reserve (Refugio de Fauna),Cuba,,,,,
591,302614,,,,Y,,The Marine PA Las Picuas - Cayo del Cristo,Cuba,,,,,
591,302631,,,,Y,,Rio Máximo reserve,Cuba,,N,,,
591,302631,,,,Y,,Río Máximo Fauna Reserve (Refugio de Fauna).,Cuba,,,,,
592,313424,,,,Y,,Caye Caulker Forest,Belize,,N,,,
600,,,,,N,http://www.wildcamels.com/what-we-do/lop-nur-nature-reserve/,Lop Nur Nature Sanctury,,,N,,,
601,187,,,,Y,,Galapagos National Park,Ecuador,All terrestrial area on islands,N,,,"It is clear that there is only 1 PA that the money could be invested toward, although it is not clear how much exactly was funelled into onsite activity"
601,11753,,,,Y,,Galapagos Marine Reserve,Ecuador,Encircles Galapagous Islands,N,,,"It is clear that there is only 1 PA that the money could be invested toward, although it is not clear how much exactly was funelled into onsite activity"
620,20011,2037,303898,,Y,,Pilon Lajas Biosphere Natural Reserve and Indigenous Territory,Bolivia,,Y,,,
620,36,,,,Y,,Eduardo Avaroa National Park,Bolivia,,N,,,
620,9308,,,,Y,,Estación Biológica del Beni Biosphere Reserve,Bolivia,,N,Beni Biological Reserve,,
620,20039,,,,Y,,Toro Toro National Park,Bolivia,,N,,,
620,32866,,,,Y,,Cordillera de Sama Biological Reserve,Bolivia,,N,Sama Cordillera Biological Reserve,,
620,303883,,,,Y,,Otuquis National Park and Zone of Integrated Management,Bolivia,,N,,,
620,303886,,,,Y,,El Palmar Natural Area of Integrated Management,Bolivia,,N,,,
620,303891,,,,Y,,San Matias Integrated Management of Natural Areas,Bolivia,,N,,,
620,303893,,,,Y,,Natural Area of Integrated Management Apolobamba,Bolivia,,N,,,
620,,,,,N,,National Park and Natural Area of Integrated Management Kaa-Iya from Gran Chaco,,,N,,,
621,68862,,,,Y,,Virachey National Park,Cambodia,,N,,,
623,96032,67737,900685,,Y,,Yancheng National Nature Reserve,China,,Y,,,
623,95471,,,,Y,,Honghe Nature Reserve,China,,N,,,
623,315662,,,,Y,,Gahai-Zecha National Nature Reserve,China,,N,,,
623,315728,,,,Y,,Sanjiang National Nature Reserve,China,,N,,,
623,,,,,N,http://en.wikipedia.org/wiki/Dafeng_Milu_Nature_Reserve,Dafeng National Milu Nature Reserve,China,,N,,,
623,,,,,N,,East Dongting Lake National Nature Reserve,China,,N,,,
625,,,,,N,Town?,Playa Larga,Colombia,,N,,,
625,,,,,N,Town?,Playita,Colombia,,N,,,
625,,,,,N,Town?,Juna,Colombia,,N,,,
625,,,,,N,Town?,Río Valle,Colombia,,N,,,
640,220264,,,,Y,,Mount Mulanje UNESCO-MAB Biosphere Reserve,Malawi,,N,Maintain Mulanje Mountain ecosystem,,
642,9816,,,,Y,,Loagan Bunut National Park (LBNP) in Sarawak,Malaysia,,N,,,
642,,,,,N,,South-East Pahang Peat Swamp Forest (SEPPSF) in Pahang,Malaysia,,N,,,
642,,,,,N,http://www.roughguides.com/destinations/asia/malaysia/sabah/southwest-kk/klias-peninsula/,Klias Peninsula in Sabah,Malaysia,,N,,,
644,18062,,,,Y,,El Triunfo Biosphere Reserve,Mexico,North,N,,,"Breaks down how much money is invested into which objective, but not how much was invested into which PA"
648,7942,,,,Y,,Matibane Coastal Forest reserve ,Mozambique,,,,,
648,,,,,N,,Rowma River Kational Reserve ,Mozambique,,,,,
651,249,68138,,,Y,,National Reserve Pacaya Samiria ,Peru,,,,,
651,61767,,,,Y,,Purús Communal Reserve,Peru,,,,,
651,98245,,,,Y,,Güeppí Reserved Zone,Peru,,,,,
651,168280,,,,Y,,Santiago Comaina Reserved Zone,Peru,,,,,
651,303321,,,,Y,,El Sira Communal Reserve,Peru,,,,,
653,95368,,,,Y,,Olango Reserve,Philippines,,,,,
656,12804,,,,Y,,Aleipata Marine Protected Area Project,Samoa,,,Aleipata and Safata Marine Protected Area,,
656,313371,,,,Y,,Safata Marine Protected Area Project,Samoa,,,Aleipata and Safata Marine Protected Area,,
659,30851,,,,Y,,Richtersveld,South Africa,,N,,,
659,308685,,,,Y,,Namaqua National Park,South Africa,,N,,,
659,,,,,N,,Geogab,South Africa,,N,,,
659,,,,,N,http://www.southafrica.net/za/en/articles/entry/article-southafrica.net-knersvlakte,Kersvlakte Parks,South Africa,,N,,,
661,303888,220298,,,Y,,Central Suriname Nature Reserve,Suriname,,Y,,,
661,276,,,,Y,,Sipaliwini Nature Reserve,Suriname,,N,,,
668,9281,,,,Y,,Cox’s Bazar –Teknaf Peninsula,Bangladesh,,,,,In Origional GEF Sheet
668,9281,,,,Y,,Cox’s Bazar –Teknaf Peninsula,Bangladesh,,,,,New
668,71323,,,,Y,,Hakaluki Haor Wildlife Sanctuary,Bangladesh,,,,,
668,,,,,N,,Saint Martin’s Island,Bangladesh,,,,,New
668,,,,,N,,Sonadia Island,Bangladesh,,,,,New
672,145524,19402,,,Y,,Manzanillo-Gandoca Wildlife Reserve,Costa Rica,,Y,,,
672,2235,,,,Y,,Cahuita National Park,Costa Rica,,N,,,
681,315154,,,,Y,,San Lorenzo Protected Area,El Salvador,,N,,,
681,,,,,N,,Mesoamerican Biological Corridor,Panama,,N,,,
763,187,,,,Y,,Galapagos Archipelago,Ecuador,,N,,,
774,3009,900568,100747,,Y,,Isla de la Corota,Colombia,,,,,
774,133,,,,Y,,Cocuy,Colombia,,,,,
774,144,,,,Y,,Tamá,Colombia,,,,,
774,145,,,,Y,,Pisba,Colombia,,,,,
774,147,,,,Y,,Los Nevados Park,Colombia,,,,,
774,35132,,,,Y,,Alto Putumayo,Colombia,,,,,
774,100769,,,,Y,,Chicamocha canyon,Colombia,,,,,
774,303542,,,,Y,,Cane-Iguaque watershed,Colombia,,,,,
774,303548,,,,Y,,Otún-Quimbaya,Colombia,,,,,
774,555511937,,,,Y,,Caldas,Colombia,,,,,
774,555555707,,,,Y,,Tatacoa desert,Colombia,,,,,
774,555555820,,,,Y,,Risaralda,Colombia,,,,,
774,555555823,,,,Y,,"Barbas river watershed in Filandia, Quindío",Colombia,,,,,
774,555555850,,,,Y,,Northeastern páramos and moist forests,Colombia,,,,,
774,,,,,N,,Fúquene region ,Colombia,,,,,
774,,,,,N,,Dagua-Calima-Paraguas corridor,Colombia,,,,,
774,,,,,N,,Altiplano Cundiboyacense,Colombia,,,,,
774,,,,,N,,Cuchilla de los Cobardes,Colombia,,,,,
774,,,,,N,,Rusia Páramo and the Quercus forest of Santander,Colombia,,,,,
774,,,,,N,,Patía Valley and neighboring western Andes mountain range,Colombia,,,,,
774,,,,,N,,Carare-Opón,Colombia,,,,,
774,,,,,N,,Dry forests of the Cauca canyon in Antioquia,Colombia,,,,,
775,184,,,,Y,,The Cotacachi-Cayapas Reserve,Uganda,,N,,,
775,35296,,,,Y,,The Mindo-Nambillo Protective Forest,Ecuador,,N,,,
775,,,,,N,http://www.rainforestrescue.org.au/ourprojects/ecuador-choco-andean-corridor.html,Choco-Andean ecosystems,Ecuador,,N,,,
775,,,,,N,http://blog.destinationecuador.com/?p=272,The Cayapas-Mataje Reserve,Ecuador,,N,,,
775,,,,,N,http://en.wikipedia.org/wiki/Maquipucuna,The Maquipucuna Reserve,Ecuador,,N,,,
775,,,,,N,Connected/is apart of cloud forest,The Upper Guayllabamba Protective Forest,Ecuador,,N,,,
777,669,,,,Y,,Mole National Park,Ghana,,N,,,
777,5153,,,,Y,,Gbele Reserve,Ghana,,N,,,
777,,,,,N,,"South Nazinga, 5 Forest Reserves",,,N,,,
779,14305,227,,,Y,,Montes Azules,Mexico,,Y,,,
779,107569,107568,,,Y,,Usumacinta Canyon,Mexico,,Y,,,
779,20134,,,,Y,,Biosphere Reserve Pantanos de Centla Biosphere Reserve Pantanos de Centla,Mexico,,N,,,
779,,,,,N,,Mesoamerican Biological Corridor,Mexico,,N,,,
779,,,,,N,http://www.cathalac.org/lac_atlas/index.php?option=com_content&view=article&id=49:selva-maya-mexico&catid=1:casos&Itemid=5,Selva Maya,Mexico,,N,,,
780,220235,,,,Y,,Mnazi Bay and the Ruvuma Estuary Marine Park,Tanzania,,N,,,
794,,,,,N,http://wwf.panda.org/what_we_do/where_we_work/choco_darien/,Choco/Darien tropical forest,,,N,,,
794,,,,,N,,the Eastern Andes Cordillera Real mountain forest,,,N,,,
794,,,,,N,Im don’t think this is a PA,Peruvian,,,N,,,
794,,,,,N,,The Bolivian Yungas,,,N,,,
794,,,,,N,,The Chaco Savannas,,,N,,,
796,900698,,,,Y,,Lake Baringo,Kenya,,N,,,
799,14750,555549416,,,Y,,Tubbatah Reef National Marine Park,Philippines,,Y,,,
800,,,,,N,,Seychelles Marine Ecosystem,,,N,,,
801,4377,173008,555535339,,Y,,Slovensky raj (Slovak Paradise) National Park,Slovakia,,Y,,,
801,173002,4375,,,Y,,Mala Fatra National Park,Slovakia,,Y,,,
802,10542,,,,Y,,Kalametiya,Sri Lanka,,,,,
802,27709,,,,Y,,Ussangoda,Sri Lanka,,,,,
802,,,,,N,,Rekawa,Sri Lanka,,,,,
803,350036,,,,Y,,Jozani-Chwaka Bay National Park,Tanzania,,N,Jozani forest National Park,,
815,12705,555547958,,,Y,,Levera National Park,Grenada,,,,,
815,116321,,,,Y,,Mt. Hartman National Park ,Grenada,,,,,
834,352364,352150,352158,41093,Y,,Aripuanã,Brazil,,,,,
834,351839,351839,352197,,Y,,Juruena National Park,Brazil,,,,,
834,2217,,,,Y,,Iquê Ecological Station,Brazil,,,,,
834,33712,,,,Y,,Roosevelt River Ecological Station,Brazil,,,,,In Origional GEF Sheet
834,115777,,,,Y,,Madeirinha River Ecological Station,Brazil,,,,,In Origional GEF Sheet
834,351833,,,,Y,,Campos Amazônicos National Parks ,Brazil,,,,,In Origional GEF Sheet
834,352057,,,,Y,,Tucumã ,Brazil,,,,,In Origional GEF Sheet
834,352076,,,,Y,,Guariba-Roosevelt Extractive Reserve,Brazil,,,,,In Origional GEF Sheet
834,352173,,,,Y,,Castanheira State Extractive Reserve,Brazil,,,,,
834,,,,,N,,Cotriguaçu ,Brazil,,,,,
834,,,,,N,,Rondolândia,Brazil,,,,,
834,,,,,N,,Colniza,Brazil,,,,,
834,,,,,N,,Juína ,Brazil,,,,,
834,,,,,N,,Rio Flor do Prado State ESEC ,Brazil,,,,,New
836,721,5003,2084,,Y,,Tai National Park ,Côte d’Ivoire ,,,,,
836,17972,3031,8942,,Y,,Siberut National Park,Indonesia,,,,,
836,901235,1251,317139,,Y,,Leuser National Park,Indonesia,,,,,
836,2304,354013,352256,,Y,,Zahamena Protected Area,Madagascar,,,,,
836,478406,70,,,Y,,Parque Nacional do Itatiaia,Brazil,,,,,
836,167,30599,,,Y,,Tortuguero National Park,Costa Rica,,,,,
836,312358,107237,,,Y,,Punta Gorda Nature Reserve,Nicaragua,,,,,
836,1696,209778,,,Y,,Kavkazsky Biosphere Nature Reserve,Russia,,,,,
836,62368,300364,,,Y,,"Baviaanskloof Mega-reserve (expanded from 213,937 to 237,764 hectares)",South Africa,,,,,
836,98183,303894,,,Y,,Madidi National Park ,Bolivia,,,,,
836,30,303897,,,Y,,Isiboro Secure National Park ,Bolivia,,,,,
836,1252,317208,,,Y,,Bukit Barisan Selatan National Park,Indonesia,,,,,
836,352254,900667,,,Y,,Sahamalaza as part of the ANGAP Protected Area network,Madagascar,,,,,
836,115179,555542744,,,Y,,Maquenque National Wildlife Reserve,Costa Rica,,,,,
836,164,555543713,,,Y,,Corcovado National Park,Costa Rica,,,,,
836,35,,,,Y,,Manuripi-Heath National Park ,Bolivia,,,,,
836,163,,,,Y,,Chirripo National Park,Costa Rica,,,,,
836,240,,,,Y,,Baru Volcano National Park,Panama,,,,,
836,257,,,,Y,,Manu National Park ,Peru,,,,,
836,722,,,,Y,,Marahoue National Park,Côte d’Ivoire ,,,,,
836,724,,,,Y,,Mont Peko National Park,Côte d’Ivoire ,,,,,
836,1631,,,,Y,,Khosrov Strict Nature Reserve,Armenia,,,,,
836,1974,,,,Y,,Parque Nacional da Bocaina,Brazil,,,,,
836,1984,,,,Y,,Zakatala Strict Nature Reserve,Azerbaijan,,,,,
836,2037,,,,Y,,Pilon Lajas Biosphere Reserve ,Bolivia,,,,,
836,3370,,,,Y,,Tambopata-Candamo National Reserve ,Peru,,,,,
836,7409,,,,Y,,"Sapo National Park (expanded from 107,300 to 180,000 hectares)",Liberia ,,,,,
836,9176,,,,Y,,Nimba Nature Reserve declared out of the former Nimba East National Forest,Liberia ,,,,,
836,10741,,,,Y,,Tiwai Island Wildlife Sanctuary ,Sierra Leone ,,,,,
836,10903,,,,Y,,La Amistad International Park,Costa Rica,,,,,
836,15957,,,,Y,,Parque Estadual do Ibitipoca,Brazil,,,,,
836,17185,,,,Y,,Palo Seco Forest Reserve,Panama,,,,,
836,18733,,,,Y,,APA Serra da Mantiqueira,Brazil,,,,,
836,18744,,,,Y,,Reserva Biológica de Tingua,Brazil,,,,,
836,19988,,,,Y,,Golondrinas Protective Forest ,Ecuador,,,,,
836,19988,,,,Y,,Tsitsikamma National Park,South Africa,,,,,
836,20037,,,,Y,,Carrasco National Park ,Bolivia,,,,,
836,20679,,,,Y,,Shikahogh Strict Nature Reserve,Armenia,,,,,
836,30628,,,,Y,,Indio Maiz Biological Reserve,Nicaragua,,,,,
836,61075,,,,Y,,Cerro Silva Nature Reserve,Nicaragua,,,,,
836,71294,,,,Y,,Peñablanca Protected Landscape and Seascape ,Philippines,,,,,
836,71294,,,,Y,,"Peñablanca Protected Landscape and Seascape (expanded from 4,136 hectares to 118,108 hectares)",Philippines,,,,,
836,98182,,,,Y,,Cotapata National Park ,Bolivia,,,,,
836,102254,,,,Y,,San San Pond/Sak Wetland,Panama,,,,,
836,102367,,,,Y,,Piedras Blancas National Park,Costa Rica,,,,,
836,107152,,,,Y,,Todos Santos de Cuchumatanes,Guatemala,,,,,
836,107289,,,,Y,,Damani Wetland,Panama,,,,,
836,107289,,,,Y,,Damani Wetlands,Panama,,,,,
836,115179,,,,Y,,Maquenque National Park ,Costa Rica,,,,,
836,124434,,,,Y,,Bukit Tigapuluh National Park,Indonesia,,,,,
836,127825,,,,Y,,Bahuaja Sonene National Park ,Peru,,,,,
836,129915,,,,Y,,Mache Chindul Ecological Reserve ,Ecuador,,,,,
836,168214,,,,Y,,Rebio União,Brazil,,,,,
836,303316,,,,Y,,Alto-Purus Reserved Zone ,Peru,,,,,
836,303317,,,,Y,,Amarakaeri Reserved Zone ,Peru,,,,,
836,303893,,,,Y,,Apolobamba Natural Area ,Bolivia,,,,,
836,306474,,,,Y,,Balinsasayao-Twin Lakes Natural Park,Philippines,,,,,
836,306531,,,,Y,,Mati Philippine Eagle Sanctuary,Philippines,,,,,
836,313470,,,,Y,,Hyrcan National Park,Azerbaijan,,,,,
836,317296,,,,Y,,Northern Sierra Madre National Park,Philippines,,,,,
836,342509,,,,Y,,Absheron National Park,Azerbaijan,,,,,
836,351829,,,,Y,,Canavieiras Extractive Reserve,Brazil,,,,,
836,351897,,,,Y,,APA Estadual Fernão Dias,Brazil,,,,,
836,352051,,,,Y,,Parque Estadual Serra do Papagaio,Brazil,,,,,
836,352062,,,,Y,,Parque Estadual da Serra do Mar,Brazil,,,,,
836,352124,,,,Y,,Parque Estadual Três Picos,Brazil,,,,,
836,352242,,,,Y,,Anjozorobe,Madagascar,,,,,
836,352248,,,,Y,,Mahavavy-Kinkony Wetlands Complex,Madagascar,,,,,
836,352249,,,,Y,,Makira Forest,Madagascar,,,,,
836,352251,,,,Y,,Menabe Central Forest ,Madagascar,,,,,
836,352256,,,,Y,,Ankenihey-Zahamena Corridor ,Madagascar,,,,,
836,555547545,,,,Y,,Cape winelands set aside for conservation,South Africa,,,,,
836,,,,,N,,Apurimac Reserved Zone ,Peru,,,,,
836,,,,,N,,Atlantic Caribbean Indigenous Reserve,Costa Rica,,,,,
836,,,,,N,,Awá People’s Indigenous Territory ,Colombia,,,,,
836,,,,,N,,Baviaans Conservancy,South Africa,,,,,
836,,,,,N,,Blaauwberg Conservation Area,South Africa,,,,,
836,,,,,N,,Dairana Multiple Use Forest Station,Madagascar,,,,,
836,,,,,N,,Die Oog,South Africa,,,,,
836,,,,,N,,Loky-Manambato Forest Station,Madagascar,,,,,
836,,,,,N,,Mt. Hamiguitan Protected Area,Philippines,,,,,
836,,,,,N,,Mt. Hilong-hilong Range Protected Landscape,Philippines,,,,,
836,,,,,N,,Naso Indigenous Territory,Panama,,,,,
836,,,,,N,,Ngobe-Bugle Indigenous Territory,Panama,,,,,
836,,,,,N,,Northern Negros Natural Park,Philippines,,,,,
836,,,,,N,,Quirino Protected Landscape,Philippines,,,,,
836,,,,,N,,Quirino Protected Landscape ,Philippines,,,,,
836,,,,,N,,St. Francis Conservancy ,South Africa,,,,,
836,,,,,N,,Tokai Forest (expanded from 1 to 3.5 hectares),South Africa,,,,,
838,478001,17721,,,Y,,"Tengiz-Korgalzhyn Lake System Ramsar Site, Wetland of International Importance",Kazakhstan,Central,Y,Tengiz‐Korgalzhyn Lake System,,
838,1672,,,,Y,,Markakol nature reserve,Kazakhstan,East,N,,,
838,17721,,,,Y,,Korgalzhyn Nature Reserve,Kazakhstan,North,N,,,
838,478022,,,,Y,,Ural River Delta & adjacent Caspian Sea coast,Kazakhstan,West,N,,,
838,478024,,,,Y,,Koibagar‐Tyuntyugur Lake System,Kazakhstan,North,N,,,
838,478025,,,,Y,,Kulykol‐Taldykol Lake System,Kazakhstan,North,N,,,
838,478036,,,,Y,,Naurzum nature reserves,Kazakhstan,North,N,,,
838,478036,,,,Y,,Naurzum Lake System,Kazakhstan,North,N,,,
838,478037,,,,Y,,Zharsor‐Urkash Lake System,Kazakhstan,North,N,,,
838,555542700,,,,Y,,Alakol‐Sassykol Lakes System,Kazakhstan,East,N,,,
838,,,,,N,http://www.kazakhstan.travel/en/attractions/local/26,Katon‐Karagay national park,Kazakhstan,,N,,,
839,167051,,,,Y,, Los Tuxtlas Biosphere,Mexico,,,,,
844,,,,,N,http://www.redturs.org/nuevaen/articulo.php?ar_codigo=198&ca_codigo=27&ca_padre=,Mapu-Lahual Parks,Chile,,N,,,
844,,,,,N,http://en.wikipedia.org/wiki/Oncol_Park,Oncol Park,Chile,,N,,,
844,,,,,N,http://www.huilohuilo.com/en/reserva-biologica/about-huilo-huilo,Huilo-Huilo Ecological Reserve,Chile,,N,,,
845,30000,555542727,,,Y,,Sembilang National Park,Indonesia,East,Y,Sembilang National Park,,
845,1254,,,,Y,,Berbak National Park,Indonesia,East,N,,,"Breaks down how much money was invested into 'Park Management"" but doesn’t not how much is invested in each PA ($203933 thousand collectively)"
846,,,,,N,,Albarradas systems,Ecuador,,N,,,
855,,,,,N,http://uztour.biz/en/guide/nurata/nurata.htm,Nuratau-Kyzylkum Biosphere Reserve,Uzbekistan,,N,,,
863,61956,902744,,,Y,,Sarstoon Temash NP,Belize,,Y,,,
864,315951,95751,,,Y,,Wuliangshan Reserve (Lingbaoshan National Forest Park) ,China,,,,,
864,316364,,,,Y,,Qinshan Watershed ,China,,,,,
865,17129,17177,313260,2073,Y,,Touran,Iran,,Y,,,
865,703,20347,,,Y,,Kavir,Iran,,Y,,,
865,313230,,,,Y,,Dare Anjir,Iran,,N,,,
865,313240,,,,Y,,Naybandan,Iran,,N,,,
865,313317,,,,Y,,Kuh-e-Birk Protected Area,Iran,,N,(Kuh-e) Bafgh,,
876,4489,,,,Y,,Bontioli,Burkina Faso,,N,,,
876,28547,,,,Y,,Koulbi Forest Reserves,Burkina Faso,,N,,,
876,313428,,,,Y,,Nabéré,Burkina Faso,,N,,,
877,901251,103171,,,Y,,Banco Chinchoro,Mexico,,,,,
877,903011,107740,,,Y,,La Sepultura,Mexico,,,,,
877,18071,903006,,,Y,,Cuatrociénegas Flora and Fauna Protection Area,Mexico,,,,,
877,222,,,,Y,,Lagunas de Zempoala National Park,,,,,,
877,20064,,,,Y,,La Encrucijada ,Mexico,,,,,
877,101409,,,,Y,,Alto Golfo y Delta del Rio Colorado ,Mexico,,,,,
877,108111,,,,Y,,"Zempoala - La Bufa ""Otomi-Mexica"" Not Reported",,,,,,
877,166970,,,,Y,,Tehuacán- Cuicatlán,Mexico,,,,,
877,306790,,,,Y,,El Pinacate y Gran Desierto del Altar,Mexico,,,,,
877,306818,,,,Y,,Mapimí,Mexico,,,,,
877,901252,,,,Y,,Sierra La Laguna,Mexico,,,,,
877,902304,,,,Y,,"Reserva de la Biosfera Banco Chinchorro Ramsar Site, Wetland of International Importance",,,,,,
877,903017,,,,Y,,El Ocote,Mexico,,,,,
877,555547539,,,,Y,,Sierra de Álamos-Rio Cuchujaqui,Mexico,,,,,
877,,,,,N,,Corredor Chichinautzin -Zempoala,Mexico,,,,,
878,26087,27598,9011,,Y,,Minneriya National Park,Sri Lanka,,,,,
878,1363,899,11142,,Y,,Yala National Park ,Sri Lanka,,,,,
878,11582,902524,68201,,Y,,Bundala ,Sri Lanka,,,,,
878,901,,,,Y,,Uda-walawa,Sri Lanka,,,,,
878,1364,,,,Y,,Wasgam-uwa,Sri Lanka,,,,,
878,1365,,,,Y,,Ritigala ,Sri Lanka,,,,,
878,2469,,,,Y,,Peak Wilderness Sanctuary,Sri Lanka,,,,,
878,3281,,,,Y,,Horton Plains National Park,Sri Lanka,,,,,
878,,,,,N,,Kaudulla,Sri Lanka,,,,,
905,17761,922,,,Y,,The southern slopes of Mt Kilimanjaro,Tanzania,,Y,,,
905,1441,,,,Y,,Along a Ugandan transect from western Kabale Forest through Lake Mburo National Park,Uganda,,N,,,
905,7633,,,,Y,,"Loitokitok, north of Mt Kilimanjaro",Kenya,,N,,,
905,902985,,,,Y,,Sango Bay on the shores of Lake Victoria,Uganda,,N,,,
905,,,,,N,,"Embu and Mbeere districts, south-east of Mt Kenya",Kenya,,N,,,
906,805,303694,,,Y,,Royal Chitwan National Park,Nepal,Central,N,,,It is unclear how much money was investing in to the PA as opposed to the buffer area
907,26606,26605,,,Y,,Makalu Barun National Park,Nepal,,Y,,,
925,141,35218,555555803,,Y,,Purace,Colombia,,,,,
925,136,,,,Y,,Nevado del Huila,Colombia,,,,,
925,139,,,,Y,,Las Hermosas,Colombia,,,,,
925,153,,,,Y,,Cueva de los Guacharos,Colombia,,,,,
925,555511940,,,,Y,,Doña Juana complex,Colombia,,,,,
925,555511941,,,,Y,,Serranía de los Churumbelos,Colombia,,,,,
925,,,,,N,,the Serranía de Minas,Colombia,,,,,
932,10715,,,,Y,,Kronotsky Reserve,Russia,,N,,,
932,203437,,,,Y,,Bystrinsky Park,Russia,,N,,,
932,,,,,N,http://wikitravel.org/en/Nalychevo_Nature_Park,Nalychevo Park,Russia,,N,,,
939,12467,95706,,,Y,,Fanjingshan ,China,,,,,
939,95843,220258,,,Y,,Baishuijiang,China,,,,,
939,95550,,,,Y,,Houhe,China,,,,,
939,95575,,,,Y,,Hupingshan,China,,,,,
939,95579,,,,Y,,Badagongshan,China,,,,,
939,95684,,,,Y,,Jianfengling,China,,,,,
939,95691,,,,Y,,Xiaozhaizigou,China,,,,,
939,95693,,,,Y,,Tanjiahe,China,,,,,
939,220259,,,,Y,,Nujiang,China,,,,,
939,315614,,,,Y,,Xuebaoding,China,,,,,
939,315640,,,,Y,,Baiyang,China,,,,,
939,315719,,,,Y,,Piankou,China,,,,,
939,,,,,N,,Bamaxueshan,China,,,,,
942,1332,36534,,,Y,,the Yankari National Park,Nigeria,,,,Yankari National Park $0.263,
942,36419,903109,,,Y,,Mala-Dumba Lake and Forest Reserve (all in Bauchi state),Nigeria,,,,Mala-Dumba Lake and Forest Reserve (all in Bauchi state) $0.247 ,
942,819,,,,Y,,Kainji National Park,Nigeria,,,,Kainji National Park $0.53 ,
942,7860,,,,Y,,Lame Burra Game Reserve,Nigeria,,,, Lame Burra Game Reserve $0.22,
945,29807,,,,Y,,Machallila,Ecuador,,,,,
945,,,,,N,,Cotacachi-Cayapas,Ecuador,,,,,
957,303317,,,,Y,,Amarakaeri Communal Reserve ,Peru,,,,,
957,303317,,,,Y,,Amarakaeri Communal Reserve ,Peru,,,,,
969,1085,27116,4091,,Y,,Kafue National Park,Zambia,Central,N,,,
969,2347,20399,,,Y,,Mosi-o-Tunya National Park,Zambia,South,Y,Mosi-o-Tunya National Park,,
972,101181,109095,,,Y,,Rugezi Marsh Other Area,Rwanda,North,Y,Rugezi Complex,,
972,862,,,,Y,,Akagera Complex,Rwanda,East,N,,,
972,,,,,N,,Rweru-Mugasera Complex,Rwanda,,N,,,
972,,,,,N,http://itouchmap.com/?c=rw&UF=-2181283&UN=-3016536&DG=STM,Kamiranzovu,Rwanda,,N,,,
984,93579,,,,Y,,Lake Hovsgol National Park ,Mongolia,,,,,
1020,35039,,,,Y,,Matavén Forest,Colombia,,N,,,
1026,183497,11778,184060,,Y,,Codrii Reserve,Turkey,,Y,,,
1026,555549444,555547529,,,Y,,Camili Biosphere Reserve,Turkey,,Y,,,
1026,17643,,,,Y,,Yenice Forests,Turkey,,N,,,
1027,166906,,,,Y,,Shatsk NNP,Ukraine,,N,,,
1027,,,,,N,http://www.encyclopediaofukraine.com/display.asp?linkpath=pages\K\A\KanivStateNatureReserve.htm,Kaniv Nature Reserve,Ukraine,,N,,,
1027,,,,,N,,Pripyat-Stokhid NNP,Ukraine,,N,,,
1027,,,,,N,,Pripyat-Stokhid RLP,Ukraine,,N,,,
1030,10378,,,,Y,,Kon Ka Kinh National Park,Vietnam,North,N,,,
1030,,,,,N,,Kon Ka Kinh-Kon Chu Rang Landscape,Vietnam,,N,,,
1030,,,,,N,http://www.activetravelvietnam.com/nationalparks/central_highlands/Kon_Cha_Rang_Nature_Reserve.html,Kon Chu Rang Nature Reserve,Vietnam,,N,,,
