Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
84,1835,,,,Y,,Palamau Sanctuary,India,Central-east,N,Palamau,340.91 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.026
84,4128,,,,Y,,Nagarahole,India,South,N,,1376 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.025
85,3011,607,,,Y,,Benoué UNESCO-MAB Biosphere Reserve,Cameroon,North-east,Y,Benoue,,
85,308624,30675,,,Y,,Boumba Bek National Park,Cameroon,South-east,Y,,,
85,478167,34788,,,Y,,Mont Kupe-Manehas Not Reported,Cameroon,West,Y,Mt Koupe,,
85,606,,,,Y,,Bouba Ndjida National Park,Cameroon,,N,Bouba-Njidda,,Annex 2 ICR: $2.14 toward Savannah Ecosystems collectively
85,1241,,,,Y,,Faro,Cameroon,North,N,,,Annex 2 ICR: $2.14 toward Savannah Ecosystems collectively
85,1242,,,,Y,,Campo-Ma'an National Park,Cameroon,,N,Campo Man'aan faunal Reserve,$4.29,Annex 2 ICR
85,1245,,,,Y,,Lobeke,Cameroon,South-east,N,,,Annex 2 ICR: $0.94 toward south-east reserves collectively
85,30674,,,,Y,,Nki National Park,Cameroon,South-east,N,Nki Faunal reserves,,Annex 2 ICR: $0.94 toward south-east reserves collectively
85,317312,,,,Y,,Mount Kilum-Ijim Community Forest,Cameroon,,N,Mt Kilum/ Ijim Reserve,$0.45,Annex 2 ICR
85,,,,,N,,Mt Cameroon Rain Forest,Cameroon,,N,,$0.14,Annex 2 ICR
87,6810,,,,Y,,Machiara National Park (MNP) in Azad Jammu & Kashmir (AJK),Pakistan,,,,Cost in Million Rupes- Machiara National Park $0.257,
87,10270,,,,Y,,Chitral Gol National Park (CGNP) in the North West Frontier Province (NWFP) ,Pakistan,,,,Cost in Million Rupes- Chitral Gol National Park $0.2 ,
87,17756,,,,Y,,Hingol National Park (HNP) in Baluchistan Province ,Pakistan,,,,Cost in Million Rupes- Hingol National Park $0.18,
92,23,4336,,,Y,,San Guillermo NP (Central Andean High Puna),Argentina,,,,,
92,10868,300079,,,Y,,Quebrada del Condorito National Park (Cordoba Montane Savanna),Argentina,,,,,
92,16846,,,,Y,,Copo NP (Semi-Arid Chaco),Argentina,,,,,
92,97545,,,,Y,,"Mburucuyá (Humid Chaco, Iberá Wetlands Ecosystem)",Argentina,,,,,
92,166727,,,,Y,,Monte León NP (Patagonian Steppe and Oceanic Patagonian Littoral),Argentina,,,,,
95,27881,,,,Y,,Kanneliya forest reserve,Sri Lanka,,N,,,
95,,,,,N,,Niligala reserve,Croatia,,N,,,
99,4994,,,,Y,,Kerinci Seblat National Park,Indonesia,Central-west,N,,$8.59,
100,160873,,,,Y,,Danube Delta,Ukraine,South-west,N,,$1.74,
101,18437,61609,,,Y,,Bwindi Impenetrable Reserve,Uganda,,Y,,,
102,1305,,,,Y,,Ile Ronde (Round Island) Nature Reserve,Mauritius,North,N,Round Island,$0.01,
102,5054,,,,Y,,Ile aux Aigrettes Nature Reserve,Mauritius,South-east,N,,$0.35,
102,,,,,N,,Rodrigues Forest,Mauritius,,N,,$0.25,
103,,,,,N,,Tempisque,Costa Rica,,N,,,
103,,,,,N,http://en.wikipedia.org/wiki/Arenal_Tilaran_Conservation_Area,Arenal-Tilarán,Costa Rica,,N,,,
103,,,,,N,,Amistad-Caribe,Costa Rica,,N,,,
103,,,,,N,,Amistad-Pacífico,Costa Rica,,N,,,
103,,,,,N,http://wikitravel.org/en/Osa_Peninsula,Osa,Costa Rica,,N,,,
110,1674,220030,,,Y,,Sary-chelek,Kyrgyzstan,,Y,,,
110,134942,,,,Y,,Chatkal reserve,Uzbekistan,,N,,,
110,,,,,N,http://en.wikipedia.org/wiki/Kara-Buura_District,Kara-Bura,Kyrgyzstan,,N,,,
110,,,,,N,,Kulun-Ata,,,N,,,
110,,,,,N,http://www.wnsstamps.post/en/stamps/KG010.11,Padysha-Ata,Kyrgyzstan,,N,,,
110,,,,,N,,Karatau,,,N,,,
110,,,,,N,,Aksu-Djabagly,,,N,,,
116,8121,,,,Y,,Raja Ampat,Indonesia,,N,,,
116,8871,,,,Y,,Taka Bone,Indonesia,,N,,,
116,30012,,,,Y,,Bunaken National Marine Par,Indonesia,,N,,,
116,198427,,,,Y,,Kepulauan Wakatobi (Laut) National Park,Indonesia,,N,Wakatobi National Park,,
116,,,,,N,,Riau,Indonesia,,N,,,
117,12650,145584,107241,,Y,,Bosawas ,Nicaragua,,,,,
117,,30628,,,Y,,Rio Indio Maiz,Nicaragua,,,,,
117,12667,,,,Y,,Cayos Miskitos natural reserve ,Nicaragua,,,,,
117,61074,,,,Y,,Wawashan Reserves ,Nicaragua,,,,,
117,61075,,,,Y,,Cerro Silva ,Nicaragua,,,,,
117,900699,,,,Y,,Los Guatuzos ,Nicaragua,,,,,
121,200,,,,Y,,La Tigra,Honduras,,,,,
121,18816,,,,Y,,Cuero y Salado ,Honduras,,,,,
121,30625,,,,Y,,Caratasca ,Honduras,,,,,
121,30627,,,,Y,,Punta Sal ,Honduras,,,,,
121,36053,,,,Y,,Kruta ,Honduras,,,,,
121,41013,,,,Y,,Patuca ,Honduras,,,,,
121,41024,,,,Y,,Punta Izopo,Honduras,,,,,
121,41045,,,,Y,,Tawahka ,Honduras,,,,,
121,62046,,,,Y,,Rus Rus ,Honduras,,,,,
121,,,,,N,,Mocoron ,Honduras,,,,,
121,,,,,N,,Warunta ,Honduras,,,,,
129,11173,9375,196488,555531354,Y,,Piatra Craiului National Park,Romania,,,,,
129,861,555531377,3041,555541009,Y,,Retezat National Park ,Romania,,,,,
129,184173,555541032,555531430,,Y,,Vanatori-Neamt Natural Park,Romania,,,,,
133,236,2554,,,Y,,Darién National Park,Panama,,,,,
133,16787,,,,Y,,Marine Park Bastimentos Island,Panama,,,,,
133,99631,,,,Y,,General Omar Torrijos Herrera National Park,Panama,,,,,
133,,,,,N,,Panama portion of the Mesoamerican Biological Corridor Project,Panama,Spans the length of Panama,N,,$2.15,
134,300408,306178,,,Y,,Cape Peninsula National Park (now Table Mountain National Park),South Africa,,Y,,6.3,Total
136,5151,,,,Y,,Shai Hills,Ghana,South-east,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,26444,,,,Y,,Gambaga West,Ghana,North-east,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,26501,,,,Y,,Red Volta East,Ghana,North-east,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,26526,,,,Y,,Nuale,Ghana,North-west,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,26544,,,,Y,,Red Volta West,Ghana,North-east,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
