"","gef_id","wdpa_id","lat","lon"
"320","92","","",""
"321","92","","",""
"322","92","166727","",""
"323","92","","",""
"324","92","","",""
"325","92","","",""
"326","95","27881","",""
"327","95","","",""
"328","95","","",""
"329","95","","",""
"330","95","","",""
"331","95","","",""
"332","95","","",""
"333","95","","",""
"334","99","4994","",""
"335","99","","",""
"336","99","","",""
"337","99","","",""
"338","100","160873","",""
"339","100","","",""
"340","100","","",""
"341","100","","",""
"342","101","18437","",""
"343","101","61609","",""
"344","101","","",""
"345","101","","",""
"346","102","1305","",""
"347","102","","",""
"348","102","","",""
"349","102","","",""
"350","102","5054","",""
"351","102","","",""
"352","102","","",""
"353","102","","",""
"354","102","","",""
"355","102","","",""
"356","102","","",""
"357","102","","",""
"358","103","","",""
"359","103","","",""
"360","103","","",""
"361","103","","",""
"362","103","","",""
"363","103","","",""
"364","103","","",""
"365","103","","",""
"366","103","","",""
"367","103","","",""
"368","103","","",""
"369","103","","",""
"370","103","","",""
"371","103","","",""
"372","103","","",""
"373","103","","",""
"374","103","","",""
"375","103","","",""
"376","103","","",""
"377","103","","",""
"378","110","1674","",""
"379","110","220030","",""
"380","110","","",""
"381","110","","",""
"382","110","134942","69.983333","41.133333"
"383","110","","",""
"384","110","","",""
"385","110","","",""
"386","110","","",""
"387","110","","",""
"388","110","","",""
"389","110","","",""
"390","110","","",""
"391","110","","",""
"392","110","","",""
"393","110","","",""
"394","110","","",""
"395","110","","",""
"396","110","","",""
"397","110","","",""
"398","110","","",""
"399","110","","",""
"400","110","","",""
"401","110","","",""
"402","110","","",""
"403","110","","",""
"404","110","","",""
"405","110","","",""
"406","116","8121","",""
"407","116","","",""
"408","116","","",""
"409","116","","",""
"410","116","8871","",""
"411","116","","",""
"412","116","","",""
"413","116","","",""
"414","116","30012","",""
"415","116","","",""
"416","116","","",""
"417","116","","",""
"418","116","198427","",""
"419","116","","",""
"420","116","","",""
"421","116","","",""
"422","116","","",""
"423","116","","",""
"424","116","","",""
"425","116","","",""
"426","117","12650","",""
"427","117","145584","-85","14"
"428","117","107241","",""
"429","117","","",""
"430","117","","",""
"431","117","30628","",""
"432","117","","",""
"433","117","","",""
"434","117","12667","",""
"435","117","","",""
"436","117","","",""
"437","117","","",""
"438","117","61074","",""
"439","117","","",""
"440","117","","",""
"441","117","","",""
"442","117","61075","",""
"443","117","","",""
"444","117","","",""
"445","117","","",""
"446","117","900699","-82.766667","14.383333"
"447","117","","",""
"448","117","","",""
"449","117","","",""
"450","121","200","",""
"451","121","","",""
"452","121","","",""
"453","121","","",""
"454","121","18816","",""
"455","121","","",""
"456","121","","",""
"457","121","","",""
"458","121","30625","",""
"459","121","","",""
"460","121","","",""
"461","121","","",""
"462","121","30627","",""
"463","121","","",""
"464","121","","",""
"465","121","","",""
"466","121","36053","",""
"467","121","","",""
"468","121","","",""
"469","121","","",""
"470","121","41013","",""
"471","121","","",""
"472","121","","",""
"473","121","","",""
"474","121","41024","",""
"475","121","","",""
"476","121","","",""
"477","121","","",""
"478","121","41045","",""
"479","121","","",""
"480","121","","",""
"481","121","","",""
"482","121","62046","",""
"483","121","","",""
"484","121","","",""
"485","121","","",""
"486","121","","",""
"487","121","","",""
"488","121","","",""
"489","121","","",""
"490","121","","",""
"491","121","","",""
"492","121","","",""
"493","121","","",""
"494","129","11173","",""
"495","129","9375","",""
"496","129","196488","",""
"497","129","555531354","",""
"498","129","861","",""
"499","129","555531377","",""
"500","129","3041","22.75","45.42"
"501","129","555541009","",""
"502","129","184173","",""
"503","129","555541032","",""
"504","129","555531430","",""
"505","129","","",""
"506","133","236","",""
"507","133","2554","",""
"508","133","","",""
"509","133","","",""
"510","133","16787","",""
"511","133","","",""
"512","133","","",""
"513","133","","",""
"514","133","99631","",""
"515","133","","",""
"516","133","","",""
"517","133","","",""
"518","133","","",""
"519","133","","",""
"520","133","","",""
"521","133","","",""
"522","134","300408","",""
"523","134","306178","",""
"524","134","","",""
"525","134","","",""
"526","136","5151","",""
"527","136","","",""
"528","136","","",""
"529","136","","",""
"530","136","26444","",""
"531","136","","",""
"532","136","","",""
"533","136","","",""
"534","136","26501","",""
"535","136","","",""
"536","136","","",""
"537","136","","",""
"538","136","26526","",""
"539","136","","",""
"540","136","","",""
"541","136","","",""
"542","136","26544","",""
"543","136","","",""
"544","136","","",""
"545","136","","",""
"546","136","26556","-2.25","9.1667"
"547","136","","",""
"548","136","","",""
"549","136","","",""
"550","136","","",""
"551","136","","",""
"552","136","","",""
"553","136","","",""
"554","136","","",""
"555","136","","",""
"556","136","","",""
"557","136","","",""
"558","136","","",""
"559","136","","",""
"560","136","","",""
"561","136","","",""
"562","136","","",""
"563","136","","",""
"564","136","","",""
"565","136","","",""
"566","136","","",""
"567","136","","",""
"568","136","","",""
"569","136","","",""
"570","136","","",""
"571","136","","",""
"572","136","","",""
"573","136","","",""
"574","136","","",""
"575","136","","",""
"576","136","","",""
"577","136","","",""
"578","142","96141","",""
"579","142","555511949","",""
"580","142","","",""
"581","142","","",""
"582","142","96145","",""
"583","142","","",""
"584","142","","",""
"585","142","","",""
"586","142","316337","117.689095","26.889126"
"587","142","","",""
"588","142","","",""
"589","142","","",""
"590","192","5061","",""
"591","192","","",""
"592","192","","",""
"593","192","","",""
"594","195","6673","",""
"595","195","900715","-71.57617","18.02189"
"596","195","","",""
"597","195","","",""
"598","195","6674","",""
"599","195","","",""
"600","195","","",""
"601","195","","",""
"602","195","478078","",""
"603","195","","",""
"604","195","","",""
"605","195","","",""
"606","206","2223","-54","-33.5"
"607","206","68318","",""
"608","206","","",""
"609","206","","",""
"610","209","902673","",""
"611","209","10188","",""
"612","209","","",""
"613","209","","",""
"614","209","7878","",""
"615","209","","",""
"616","209","","",""
"617","209","","",""
"618","209","10110","",""
"619","209","","",""
"620","209","","",""
"621","209","","",""
"622","209","10113","",""
"623","209","","",""
"624","209","","",""
"625","209","","",""
"626","209","18033","",""
"627","209","","",""
"628","209","","",""
"629","209","","",""
"630","209","61935","",""
"631","209","","",""
"632","209","","",""
"633","209","","",""
"634","209","302848","",""
"635","209","","",""
"636","209","","",""
"637","209","","",""
"638","209","317280","105.488985","19.583371"
"639","209","","",""
"640","209","","",""
"641","209","","",""
"642","209","478148","",""
"643","209","","",""
"644","209","","",""
"645","209","","",""
"646","209","478277","",""
"647","209","","",""
"648","209","","",""
"649","209","","",""
"650","216","13388","",""
"651","216","900592","",""
"652","216","555547507","",""
"653","216","","",""
"654","216","61518","",""
"655","216","","",""
"656","216","","",""
"657","216","","",""
"658","216","902497","",""
"659","216","","",""
"660","216","","",""
"661","216","","",""
"662","220","313046","43.76667","-12.16667"
"663","220","","",""
"664","220","","",""
"665","220","","",""
"666","223","17286","54","12.5"
"667","223","901259","53.5","12.35"
"668","223","903138","",""
"669","223","","",""
"670","243","14305","",""
"671","243","","",""
"672","243","","",""
"673","243","","",""
"674","243","71022","",""
"675","243","","",""
"676","243","","",""
"677","243","","",""
"678","243","306780","",""
"679","243","","",""
"680","243","","",""
"681","243","","",""
"682","243","902281","-87.616667","19.5"
"683","243","","",""
"684","243","","",""
"685","243","","",""
"686","245","7447","",""
"687","245","","",""
"688","245","","",""
"689","245","","",""
"690","245","","",""
"691","245","","",""
"692","245","","",""
"693","245","","",""
"694","245","","",""
"695","245","","",""
"696","245","","",""
"697","245","","",""
"698","245","","",""
"699","245","","",""
"700","245","","",""
"701","245","","",""
"702","250","","",""
"703","250","","",""
"704","250","","",""
"705","250","","",""
"706","347","","",""
"707","347","","",""
"708","347","","",""
"709","347","","",""
"710","347","","",""
"711","347","","",""
"712","347","","",""
"713","347","","",""
"714","348","236","",""
"715","348","2554","",""
"716","348","","",""
"717","348","","",""
"718","348","17183","",""
"719","348","","",""
"720","348","","",""
"721","348","","",""
"722","348","107372","",""
"723","348","","",""
"724","348","","",""
"725","348","","",""
"726","350","26606","",""
"727","350","26605","",""
"728","350","","",""
"729","350","","",""
"730","352","26087","",""
"731","352","27598","",""
"732","352","9011","",""
"733","352","","",""
"734","352","1363","",""
"735","352","899","",""
"736","352","11142","",""
"737","352","","",""
"738","352","11582","",""
"739","352","902524","",""
"740","352","68201","",""
"741","352","","",""
"742","352","901","",""
"743","352","","",""
"744","352","","",""
"745","352","","",""
"746","352","1364","",""
"747","352","","",""
"748","352","","",""
"749","352","","",""
"750","352","9006","",""
"751","352","","",""
"752","352","","",""
"753","352","","",""
"754","364","163","",""
"755","364","","",""
"756","364","","",""
"757","364","","",""
"758","364","164","",""
"759","364","","",""
"760","364","","",""
"761","364","","",""
"762","364","","",""
"763","364","","",""
"764","364","","",""
"765","364","","",""
"766","400","17231","",""
"767","400","","",""
"768","400","","",""
"769","400","","",""
"770","400","","",""
"771","400","","",""
"772","400","","",""
"773","400","","",""
"774","400","","",""
"775","400","","",""
"776","400","","",""
"777","400","","",""
"778","400","","",""
"779","400","","",""
"780","400","","",""
"781","400","","",""
"782","400","","",""
"783","400","","",""
"784","400","","",""
"785","400","","",""
"786","400","","",""
"787","400","","",""
"788","400","","",""
"789","400","","",""
"790","400","","",""
"791","400","","",""
"792","400","","",""
"793","400","","",""
"794","400","","",""
"795","400","","",""
"796","400","","",""
"797","400","","",""
"798","403","902505","162.95","5.283333"
"799","403","315502","",""
"800","403","","",""
"801","403","","",""
"802","403","315547","",""
"803","403","902678","",""
"804","403","","",""
"805","403","","",""
"806","403","4253","-157.332953","2.000215"
"807","403","","",""
"808","403","","",""
"809","403","","",""
"810","403","10538","",""
"811","403","","",""
"812","403","","",""
"813","403","","",""
"814","403","61918","-169.798128","-19.099215"
"815","403","","",""
"816","403","","",""
"817","403","","",""
"818","403","145496","",""
"819","403","","",""
"820","403","","",""
"821","403","","",""
"822","403","145497","-159.766998","-21.25"
"823","403","","",""
"824","403","","",""
"825","403","","",""
"826","403","145498","-171.6","-14.083"
"827","403","","",""
"828","403","","",""
"829","403","","",""
"830","403","145499","",""
"831","403","","",""
"832","403","","",""
"833","403","","",""
"834","403","313371","-171.8667","-13.9833"
"835","403","","",""
"836","403","","",""
"837","403","","",""
