"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"1256",2967.9094238281,738.3161621094,7.8525564804,0.2490124106,51.6009389671,883.9702758789,0,5.2990019447,25.04082,-77.37122,NA,NA,NA,NA,NA,NA,32.4811529933,968.583557129,1,313.599183471547,NA,NA,NA,NA,12.659949625198,9347,"Support to Eligible Parties for the Revision of NBSAPs and Development of the Fifth National Report to the CBD (Phase III)"
"1267",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,9211,"Coordinate Action and Learning to Combat Wildlife Crime"
"1307",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,5880,"Knowledge for Action: Promoting Innovation Among Environmental Funds"
"1386",2967.9094238281,738.3161621094,7.8525564804,0.2490124106,51.6009389671,883.9702758789,0,5.2990019447,25.04082,-77.37122,NA,NA,NA,NA,NA,NA,32.4811529933,968.583557129,1,313.599183471547,NA,NA,NA,NA,12.659949625198,5744,"Strengthening Access and Benefit Sharing (ABS) "
"1416",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,5731,"Strengthening Human Resources, Legal Frameworks and Institutional Capacities to Implement the Nagoya Protocol"
"1443",1751.2984619141,1074.2725830078,9.6047486034,0.4055435061,122.2459893048,712.6959838867,0,27.9031966305,6.73468,-11.25488,822.7,43,263.4583333333,26.8,24.1,25.4833333333,0,2027.10986328,1,309.395109798629,0.6769782005565,0.6769782005565,457.023741007163,0.6769782005565,12.659949625198,5712,"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation- as a Building Block Towards Liberia’s Marine and Costal Protected Areas"
"1445",1332.4992675781,599.2250366211,12.1158974359,0.3251639009,173.7312252964,183.1888580322,0,25.1319730533,6.14861,-10.38361,616.5,36.4,240.9666666667,27.6,25,26.4333333333,0.0143884892,1765.46069336,1,310.443579394717,0.578075342273618,0.578075342273618,537.029616543955,0.578075342273618,12.659949625198,5712,"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation- as a Building Block Towards Liberia’s Marine and Costal Protected Areas"
"1447",2550.5561523438,700.8319702148,32.3779477374,0.7532734275,123.0121065375,74.1822128296,0,61.1097134075,6.81524,-11.133,822.7,43,263.4583333333,26.8,24.1,25.4833333333,0,2714.90185547,1,295.227548619925,0.708051578705831,0.708051578705831,416.957687121521,0.708051578705831,12.659949625198,5712,"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation- as a Building Block Towards Liberia’s Marine and Costal Protected Areas"
"1449",2864.0251464844,693.007019043,12.5995525727,0.3783475161,121.7890295359,250.4169464111,0,22.9230503955,5.88109,-10.04472,673.9,58.8,252.3583333333,27.1,24.8,26.0583333333,0.9146341463,1864.46813965,1,311.837573889645,0.617714636935747,0.617714636935747,504.824647569557,0.617714636935747,12.659949625198,5712,"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation- as a Building Block Towards Liberia’s Marine and Costal Protected Areas"
"1467",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,5688,"UNEP-GEF Project for Sustainable Capacity Building for Effective Participation in the Biosafety Clearing House (BCH)"
