"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"2565",5656.8544921875,1000,1319,0.263419300317764,76,86.6933975219727,1,16,-12.569895,27.674718,340.3,0,107.433333333333,24.3,15.9,20.8833333333333,0,2742.29711914,1,314.159265358979,0.587177835208387,0.587177835208387,535.032568536047,0.587177835208387,12.659949625198,1268,"Effective Management of the National Protected Areas System"
"2570",9219.544921875,18867.962890625,1260,3.50845050811768,1256,17.831579208374,1,47,-15.673527,29.05269,149.9,0,50.2583333333333,30.4,20.6,26.0333333333333,0,3919.15258789,1,314.159265358979,0.316734620180696,0.316734620180696,991.869045384911,0.316734620180696,-10.0444758689726,1268,"Effective Management of the National Protected Areas System"
"2645",0,1000,282,0.14007405936718,227,6.17411088943481,1,29,-21.619134,-62.462457,155.4,0,38.1,29.4,17.2,25.0833333333333,0,2852.19604492,1,314.159265358979,0.781984408219162,0.781984408219162,401.746201147954,0.781984408219162,12.659949625198,NA,""
"2718",4242.640625,7000,53,1.60831427574158,470,10.4940204620361,1,45,-3.331723,39.886829,152,4.9,86.6,28.1,22.2,25.275,0,4271.50292969,1,0,0.606301378462194,0.606301378462194,0,0.606301378462194,-10.0444758689726,2237,"Developing Incentives for Community Participation in Forest Conservation through the Use of Commercial Insects in Kenya"
"2752",2000,128160.0546875,153,0.499314904212952,4499,0.014277939684689,1,100,2.947547,-65.690733,534.8,99,280.066666666667,29,26.9,27.875,0,4502.25683594,1,314.159265358979,0.312144487160495,0.312144487160495,1006.45463329118,0.312144487160495,-10.0444758689726,2594,"DHEKUANA NONOODO:  Sustainable Use and Conservation of Biodiversity Resources of Dhekuana Indigenous Lands"
"2783",4123.10546875,1000,37,0.218758299946785,440,17.8901405334473,1,47,-20.175388,44.517489,304.9,2.5,77.9916666666667,28.9,22.9,26.6916666666667,0,4523.43945312,1,314.159265358979,0.630965093204105,0.630965093204105,497.902766322058,0.630965093204105,12.659949625198,3687,"Madagascar's Network of Managed Resource Protected Areas"
"2790",12041.5947265625,1000,7,0.111545689404011,387,38.999641418457,0,0,26.604029,-78.401322,NA,NA,NA,NA,NA,NA,0,2374.54272461,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3729,"Building a Sustainable National Marine Protected Area Network"
"2791",12041.5947265625,1000,7,0.111545689404011,387,38.999641418457,0,0,26.604029,-78.401322,NA,NA,NA,NA,NA,NA,0,2374.54272461,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3729,"Building a Sustainable National Marine Protected Area Network"
"2795",40311.2890625,1000,9,0.111545689404011,406,9.13698673248291,1,35,25.976719,-77.217449,NA,NA,NA,NA,NA,NA,0,2040.16833496,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3729,"Building a Sustainable National Marine Protected Area Network"
"2825",5000,4000,441,7.41749477386475,397,101.370399475098,1,82,19.313248,-69.982083,181.5,33.2,115.425,29.1,26.3,27.9,0,4173.63720703,1,314.159265358979,0.898363201094491,0.898363201094491,349.701841055192,0.898363201094491,-10.0444758689726,2907,"Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability"
"2847",12206.5556640625,6082.7626953125,240,5.24688959121704,235,103.644302368164,1,93,19.263477,-69.431642,192,17.7,109.058333333333,29.7,26.1,27.8833333333333,5,4134.16259766,1,314.159265358979,0.89810438672331,0.89810438672331,349.802617605704,0.89810438672331,-10.0444758689726,2907,"Re-engineering the National Protected Area System in Order to Achieve Financial Sustainability"
"2891",1414.21362304688,1000,-2,0.0691777542233467,97,376.925811767578,1,0,33.485953,120.511845,NA,NA,NA,NA,NA,NA,5,2120.98486328,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3670,"CBPF: Jiangsu Yancheng Wetlands System Protection "
"2892",1414.21362304688,11045.361328125,863,11.7454652786255,446,0.0970732420682907,1,16,-12.872617,34.039474,694,2,163.891666666667,27.8,21.4,24.9333333333333,0,3771.29638672,1,314.159265358979,0.810031652553503,0.810031652553503,387.835789340626,0.810031652553503,-10.0444758689726,3692,"Effective Management of  Nkhotakota Wildlife Reserve (PDMNWR)"
"2896",3605.55126953125,1000,7,0.468155056238174,166,17.94455909729,1,76,1.108195,9.79387,530.3,78.8,233.033333333333,26.8,24.5,25.7166666666667,0,2227.25292969,1,314.159265358979,0.735756820418835,0.735756820418835,426.98790774395,0.735756820418835,12.659949625198,3757,"CBSP – Strengthening the National System of protected areas in Equatorial Guinea for the effective conservation of representative ecosystems and globally significant biodiversity"
"2897",4242.640625,1000,48,0.333917886018753,219,17.94455909729,1,90,2.178971,9.854764,NA,NA,NA,NA,NA,NA,0,2332.48461914,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3757,"CBSP – Strengthening the National System of protected areas in Equatorial Guinea for the effective conservation of representative ecosystems and globally significant biodiversity"
"2910",1000,1000,0,0.36210635304451,216,128.927307128906,1,0,18.048877,-77.80252,353.6,36.7,167.233333333333,26.5,23.9,25.2,6,2770.19433594,1,314.159265358979,0.884457485156764,0.884457485156764,355.199962272123,0.884457485156764,12.659949625198,3764,"Strengthening the Operational and Financial Sustainability of the National Protected Area System"
"2912",3000,1000,6,0.307040452957153,NA,128.927307128906,0,88,18.031061,-77.886147,353.6,36.7,167.233333333333,26.5,23.9,25.2,8,2302.71972656,1,314.159265358979,NA,NA,NA,NA,12.659949625198,3764,"Strengthening the Operational and Financial Sustainability of the National Protected Area System"
"2933",0,1000,209,0.748868763446808,94,36.8718185424805,1,85,50.605041,35.974754,133,18.5,53.5166666666667,23.1,-11.4,7.64166666666667,15,3026.83032227,1,314.159265358979,0.744806063047541,0.744806063047541,421.800091252649,0.744806063047541,12.659949625198,3745,"Improving the Coverage and Management Efficiency of Protected Areas in the Steppe Biome of Russia"
"2938",1414.21362304688,1000,226,0.225225389003754,168,25.141170501709,0,0,53.019742,45.730447,88.8,18.5,46.05,21.8,-18.7,4.50833333333333,6,2440.68774414,1,314.159265358979,0.518134979932314,0.518134979932314,606.327072146372,0.518134979932314,12.659949625198,3745,"Improving the Coverage and Management Efficiency of Protected Areas in the Steppe Biome of Russia"
"3051",1000,1000,51,0.526827454566956,444,27.1145401000977,1,95,10.684576,-84.148153,483.4,67.2,232.566666666667,28,26.1,26.875,0,2459.10107422,1,314.159265358979,0.858844924093012,0.858844924093012,365.792771833342,0.858844924093012,12.659949625198,4836,"Conservation, Sustainable Use of Biodiversity, and Maintenance of Ecosystem Services of Internationally Important Protected Wetlands"
"3073",0,1000,-4,0.262509405612946,46,42.3699188232422,1,0,43.896371,15.580599,NA,NA,NA,NA,NA,NA,0,2150.48974609,1,314.159265358979,NA,NA,NA,NA,12.659949625198,4842,"Strengthening the Institutional and Financial Sustainability of the National Protected Area System"
"3091",2000,3605.55126953125,236,0.621806561946869,500,4.00797605514526,1,87,25.42942,95.547044,536.6,0,159.775,28.1,17.4,24.375,0,3817.67944336,1,314.159265358979,0.620197945353346,0.620197945353346,506.546768999683,0.620197945353346,-10.0444758689726,5159,"Strengthening Sustainability of Protected Area Management "
"3093",1414.21362304688,1414.21362304688,20,0.325205683708191,333,12.3831396102905,1,32,11.696211,-15.041176,553.6,0,147.566666666667,28.3,26.4,27.475,0,3910.00805664,1,314.159265358979,0.810244937335615,0.810244937335615,387.733697407664,0.810244937335615,-10.0444758689726,5368,"Strengthening the Financial and Operational Framework of the National PA System in Guinea-Bissau"
