"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"693","<leaf>",6,6,4417065.00130784,24.75229381868,2.45261554296057e-05,0,0
"347","dist_to_roads.na.mean",125,125,1406291277.88737,3.29186272261614,0.00200883299715762,4,0
"694","<leaf>",3,3,91731755.5451741,-226.2095935269,0,0,0
"695","<leaf>",122,122,1171340346.36962,8.86638407895225,0.00086588817315372,0,0
"87","<leaf>",7,7,256669662.642646,649.834974524453,0,0,0
"11","accessibility_map.na.mean",13,13,1258460940.58543,338.311845392855,0.00655453584117331,4,5
"22","udel_precip_v4_01_yearly_max.2002.mean",6,6,727273178.518077,689.555096072,0.00217067019862593,4,5
"44","<leaf>",4,4,511841247.502883,844.397217397,0,0,0
"45","<leaf>",2,2,60674617.8909504,481.681586659,0,0,0
"23","<leaf>",7,7,63883997.4518726,112.91843253893,0.000432864461040226,0,0
"3","longitude",82,82,19600120662.8718,-215.311632333618,0.0294410318261012,4,5
"6","latitude",67,67,17864470290.664,-278.553754928269,0.0294410318261012,4,5
"12","udel_air_temp_v4_01_yearly_max.2002.mean",50,50,11018634397.8846,-209.775981338112,0.0183048442499574,4,2
"24","<leaf>",6,6,732093118.040086,-596.3972653994,0,0,0
"25","udel_precip_v4_01_yearly_max.2002.mean",44,44,8981502626.31054,-181.783708807816,0.0140089732934971,4,2
"50","srtm_slope_500m.na.mean",37,37,8055200882.61728,-255.591743879521,0.0140089732934971,4,5
"100","accessibility_map.na.mean",28,28,3699387829.71041,-241.760319780273,0.0102750663619507,4,2
"200","<leaf>",3,3,649199254.418314,-473.6390718525,0,0,0
"201","gpw_v3_density.2000.mean",25,25,2317630647.62746,-207.179269447336,0.00597562114703229,4,3
"402","<leaf>",4,4,961922272.241163,-440.72660259245,0,0,0
"403","srtm_slope_500m.na.mean",21,21,929678168.886696,-151.059319966324,0.00224790554771225,4,1
"806","<leaf>",2,2,223437093.739567,-399.07634933,0,0,0
"807","srtm_slope_500m.na.mean",19,19,559829981.978303,-124.178752580666,0.00224790554771225,4,0
"1614","<leaf>",17,17,166769794.588611,-74.4466542449894,0,0,0
"1615","<leaf>",2,2,218943709.911219,-334.453351169,0,0,0
"101","srtm_elevation_500m.na.mean",9,9,3560365170.46801,-544.575102876668,0.0140089732934971,4,5
"202","<leaf>",5,5,222883778.162947,-389.15824987467,0,0,0
"203","<leaf>",4,4,1871002702.95583,-749.542586168333,0,0,0
"51","<leaf>",7,7,191931041.160363,361.68697644315,0,0,0
"13","udel_precip_v4_01_yearly_min.2002.mean",17,17,4660790931.39958,-490.872218986447,0.0294410318261012,4,5
"26","<leaf>",11,11,1211241900.27973,-612.4947430288,0,0,0
"27","<leaf>",6,6,507802982.07701,-376.4802909615,0,0,0
"7","udel_precip_v4_01_yearly_max.2002.mean",15,15,565471464.449918,36.0240568379695,0.00170106589684879,4,1
"14","dist_to_roads.na.mean",13,13,432473141.286245,-65.7327361597155,0.00170106589684879,4,5
"28","gpw_v3_density.2000.mean",8,8,249151507.827912,-240.240005544687,0.00138657341781119,4,4
"56","<leaf>",2,2,12614.0046154183,-88.063332941324,0,0,0
"57","<leaf>",6,6,150283537.203118,-327.2387604106,0,0,0
"29","<leaf>",5,5,45782117.0928678,105.47331095285,0.00029450978011425,0,0
"15","<leaf>",2,2,27983822.9767903,590.5529291223,0,0,0
