"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"124",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"125",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,1450,"Development of National Implementation Plan for Vietnam in the Process of Accession, Implementation and Enforcement of the Newly-signed Stockholm Convention on POPs"
"126",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"127",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"128",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"129",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"130",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,1455,"Capacity Building for Small Island Developing States through SIDSNet"
"139",2671.31982422,19891.6582031,251.057811195,5.8200469017,395.254248366,180.062515259,0,46.1507255178,10.66667,125.05,NA,NA,NA,NA,NA,NA,0.2290388548,1688.77160645,1.70261545212,1,0,NA,NA,NA,NA,-2.9934552952243,1469,"Initial Assistance to the Slovak Republic to meet its obligations under the Stockholm Convention on Persistent Organic Pollutants POPs"
"191",2660.59277344,7829.02490234,867.295394668,6.5963959694,339.299588477,113.38910675,1,42.9701083113,8.1575,125.12778,390.6,57.775,184.45625,24.4,22.4,23.4458333333,1.2469033856,2411.74169922,1.11134773831,1,0,0.168697134470418,0.168697134470418,0,0.168697134470418,-2.9934552952243,NA,""
"197",2821.65185547,100963.765625,211.045615732,5.2318620682,334.319041614,211.616546631,0,46.7380396719,10.747,125.0107,NA,NA,NA,NA,NA,NA,0.5824130879,1810.08215332,1.79192577455,1,0,NA,NA,NA,NA,-2.9934552952243,1585,"Assessment of Capacity Building Needs and Country Specific Priorities"
"274",2494.85668945,2274.7409668,714.205794948,1.9738625288,108.086506623,293.89642334,0,56.9729635048,3.86667,11.51667,243.55,0,130.691666667,25.225,22.675,23.91875,5.7086614173,3185.63208008,6.43498129248,1,3,0.0465720801478213,0.0465720801478213,64.4162766721585,0.0465720801478213,3,972,"Integrated Management of Critical Ecosystems"
"303",161032.171875,2400.10546875,498.264509321,7.3129096031,885.060689655,355.619567871,0,14.5463538469,-11.49861,43.3575,419.6,44.7,188.425,27.3,23.1,25.5666666667,0.3311608961,1161.41516113,5.07442786746,1,3,0.380615640899089,0.380615640899089,7.88196720690039,0.380615640899089,3,NA,""
"304",161080.671875,2406.08325195,503.45981046,7.3753638268,885.156077348,355.619567871,0,14.4766863895,-11.50139,43.3775,419.6,44.7,188.425,27.3,23.1,25.5666666667,0.3081940481,1172.34887695,5.06275598682,1,3,0.383156849933022,0.383156849933022,7.82969167985492,0.383156849933022,3,NA,""
"308",161081.078125,2327.12060547,485.911055095,7.2335305214,879.740425532,355.619567871,0,14.1095236578,-11.49361,43.36833,419.6,44.7,188.425,27.3,23.1,25.5666666667,0.2988177742,1158.26879883,5.07387778932,1,3,0.384110940735424,0.384110940735424,7.81024355686448,0.384110940735424,3,NA,""
"325",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"326",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,1445,"Demand-side Energy Efficiency in Public Buildings, Lodz Municipal Energy Services Company"
"327",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,1446,"Conservation and Sustainable Use of Biodiversity in the Peruvian Amazon by the Indigenous Ashaninka Population"
"328",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,1447,"Building Human and Institutional Capacities to Address Climate Change Issues in 46 Least-Developed Countries"
"329",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"330",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,1449,"Initial Assistance to the Philippines to Meet its Obligations Under the Stockholm Convention on POPs"
"433",6791.20996094,661138.75,164.478512649,6.7641878128,357.158476658,122.792739868,0,23.4222906198,10.22472,125.59472,NA,NA,NA,NA,NA,NA,0.0879345603,1359.45605469,1.13131166176,1,0,NA,NA,NA,NA,-2.9934552952243,1679,"Strengthening Romania's Protected Area System by Demonstrating Government-NGO Partnership in Romania's Maramures Nature Park"
