"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","years_since_implementation","treatment","ndvi_pre_post_diff","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"7",1947.98636227381,3495.38978273404,841.841796474216,3.79364765360175,90.0233161189356,51.0107383728027,42.0699996948,1.82250740232,35.139824,8.693498,60.9,10.5,30.2083333333333,27.4,7.9,17.725,6.67091277201,1430.67194359,3,1,2.295654091,0.0837703712314249,0.0837703712314249,27.4041293747881,0.0837703712314249,546.679041224495,3669,"MENARID: Second Natural Resources Management Project"
"10",2456.75541761344,2998.89108194341,2282.72189171748,8.24525687710002,120.893641334691,127.408959083226,0,0.0196987371716,32.0603,50.660168,97.2,0,24.7416666666667,24,-0.8,11.9833333333333,10.3426255025,1530.92852906,3,1,61.2170034099,0.06958759596237,0.06958759596237,879.711427924648,0.06958759596237,546.679041224495,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"12",1798.43784919847,2086.45063080087,1239.75694753303,6.44603182475685,124.265986866681,26.4280395507812,0,0.257154456953,37.386656,56.910168,58.9904578669858,0.997321506522343,21.0311525284774,22.8145371348529,-4.28261696582709,10.8963521295708,5.44833708859,1689.76144772,3,1,91.209015302,0.0244609537490691,0.0244609537490691,3728.75956668171,0.0244609537490691,546.679041224495,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"13",1689.20380658284,736.124542880726,1178.84996237967,1.32002353235222,10.3573831207692,6888.64440020721,0,0.0337828678678,35.555934,51.326838,97.7727272678783,0.172727272958179,23.4916666624334,29.2636363698708,2.61818182141451,16.9109848534012,60.7158515022,1421.05229028,3,1,74.1513553655,0.403626916443153,0.403626916443153,183.712612674441,0.403626916443153,546.679041224495,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"32",2669.80929422399,3643.29846358826,650.197132475479,3.05625721655128,144.412482937396,53.774178758075,0,0.505556716394,35.888807,9.243498,93.8187739245899,12.699365968012,38.1265439074616,26.8939766961138,6.84381818811679,16.9520722674516,2.9364595372,1478.63013138,2,1,214.803763608,0.0822301524402806,0.0822301524402806,2612.22626048274,0.0822301524402806,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"51",3443.8690982016,4587.57772627206,780.15115227909,2.66128143605196,800.250392707866,6.82794171764359,0,30.4623059709,10.907929,35.410168,322.82188305065,3.75038166726739,108.652265199746,27.5253604635303,21.4259117606943,23.9712892136805,0,3590.06179777,0,1,-583.754938254,0.0697687289526904,0.0697687289526904,-8366.99975786917,0.0697687289526904,-577.03976185988,5220,"PSG: Sustainable Land Management Project 2"
"52",2086.85748734157,2711.95460199359,473.725116254856,0.483269532314114,791.551325277188,1.10322403907776,257.429992676,43.3434177952,7.742074,34.410168,186.7,19,101.091666666667,30.45,26.1,27.925,0,3308.70498636,0,1,-378.327967878,0.107658007768098,0.107658007768098,-3514.16467498584,0.107658007768098,-577.03976185988,5220,"PSG: Sustainable Land Management Project 2"
"68",2987.70175041419,3909.11029406898,618.625891999223,5.16714565401131,230.772359755517,71.1167301594971,1,8.34536190868,35.880988,9.525948,66.5780751721824,7.27975676002815,28.1487396689899,28.2139925950662,8.80932839671079,18.6426617300441,1.95498846992,1704.37539287,2,1,67.0317833376,0.0882884768164234,0.0882884768164234,759.23592471731,0.0882884768164234,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"93",3106.87128557416,2784.73799156706,631.53261583694,4.60423683022602,183.470412967826,56.3915438888294,0,7.08034985291,35.99493,9.525638,81.0050331401335,10.4615329886095,32.688945474614,27.9524767406622,8.63498449377482,18.4683178271082,1.79805542822,1815.00527617,2,1,107.523151603,0.0848939121583875,0.0848939121583875,1266.55903667619,0.0848939121583875,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"94",2136.44734762297,5280.50522158755,790.352963765909,3.03123068240487,211.499250147617,54.3517014566048,0,0.0301858803596,35.537289,9.122538,84,12.5,35.9916666666667,25,4.9,14.9833333333333,1.7912160761,1077.83310941,2,1,66.9700839961,0.0671388087858936,0.0671388087858936,997.486926073835,0.0671388087858936,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
