"","count","ncat","improve","index","adj"
"longitude",66,1,0.000398965080849592,-71.3177855,0
"srtm_slope_500m.na.mean",66,-1,0.000389598141685288,7.18107350289461,0
"wdpa_5km.na.sum",66,-1,0.000380545341979055,269.765014648313,0
"ltdr_yearly_ndvi_mean.2002.mean",66,-1,0.000362760722460098,2650.509281955,0
"v4composites_calibrated.2002.mean",0,-1,0.924242424242424,5.786104736895,0.285714285714285
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.909090909090909,288.95,0.142857142857143
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.909090909090909,21.0130239375694,0.142857142857143
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.909090909090909,89.9691435201037,0.142857142857143
"longitude",59,1,0.00197347482131361,-71.3177855,0
"udel_precip_v4_01_yearly_mean.2002.mean",59,-1,0.00183048481669157,76.0836826189337,0
"v4composites_calibrated.2002.mean",59,-1,0.0017761401315173,3.91315992699598,0
"srtm_slope_500m.na.mean",59,-1,0.00172182410890686,7.26816732779884,0
"dist_to_roads.na.mean",59,1,0.001717139154518,1456.77964162753,0
"dist_to_roads.na.mean",0,1,0.898305084745763,1353.0722710984,0.25
"srtm_slope_500m.na.mean",0,-1,0.898305084745763,9.26956854126609,0.25
"v4composites_calibrated.2002.mean",0,-1,0.898305084745763,3.91315992699598,0.25
"treecover2000.na.mean",0,-1,0.88135593220339,16.53494641955,0.125
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.88135593220339,11.4615583417111,0.125
"treecover2000.na.mean",51,-1,0.00627655656039902,7.338777512735,0
"udel_precip_v4_01_yearly_mean.2002.mean",51,-1,0.00501693680451445,74.4987653422283,0
"udel_precip_v4_01_yearly_min.2002.mean",51,-1,0.00494274257745805,4.03201592142267,0
"ltdr_yearly_ndvi_mean.2002.mean",51,1,0.00441303792237424,1819.318389195,0
"udel_air_temp_v4_01_yearly_max.2002.mean",51,-1,0.00434280713024968,24.1080457696843,0
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.92156862745098,74.4987653422283,0.5
"accessibility_map.na.mean",0,-1,0.882352941176471,863.378588339082,0.25
"latitude",0,-1,0.882352941176471,48.4573345,0.25
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.882352941176471,14.1227936306693,0.25
"udel_air_temp_v4_01_yearly_min.2002.mean",0,1,0.882352941176471,-21.9036376269284,0.25
"udel_air_temp_v4_01_yearly_min.2002.mean",43,-1,0.0268333936427832,13.3502323983613,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",43,-1,0.0268194977123019,24.8464434434578,0
"udel_precip_v4_01_yearly_max.2002.mean",43,-1,0.0267890508127325,229.821428469173,0
"udel_air_temp_v4_01_yearly_max.2002.mean",43,-1,0.0267793043139042,33.7073379250232,0
"longitude",43,-1,0.0264063117025374,52.3694225,0
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.883720930232558,229.821428469173,0.444444444444445
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.883720930232558,25.6024098914174,0.444444444444445
"treecover2000.na.mean",0,-1,0.86046511627907,1.21133558876,0.333333333333333
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.86046511627907,48.3972359107987,0.333333333333333
"gpw_v3_density.2000.mean",0,-1,0.837209302325581,144.272321549101,0.222222222222223
"dist_to_all_rivers.na.mean",34,-1,0.464120197055931,2498.30687937536,0
"treecover2000.na.mean",34,1,0.461628703508467,0.285761018703,0
