"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"423",1534.0301513672,1100.1687011719,2016.7704918033,1.9248126745,138.1914414414,6.7596521378,0,0.4837636377,24.83333,-104.83333,197,0,49.5333333333,22.7,11,17.5,1.5555555556,1956.61901855,1,0,0.572973595271194,0.572973595271194,0,0.572973595271194,-3,3637,"SFM Transforming Management of Biodiversity-rich Community Production Forests through Building National Capacities for Market-based Instruments - under the Sustainable Forest Management Program"
"561",490031.71875,1417.58984375,408.1711003628,2.0720081329,32.4701834862,631.2542114258,0,38.4729876951,-20.3,57.58333,425.7,25.6,129.5166666667,27.1,21.1,24.175,17.0045977011,2369.88671875,1,3,0.921959344733961,0.921959344733961,3.25393957676699,0.921959344733961,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"640",490031.71875,1417.58984375,408.1711003628,2.0720081329,32.4701834862,631.2542114258,0,38.4729876951,-20.3,57.58333,425.7,25.6,129.5166666667,27.1,21.1,24.175,17.0045977011,2369.88671875,1,3,0.921959344733961,0.921959344733961,3.25393957676699,0.921959344733961,3,3920,"Support to GEF Eligible CBD Parties for carrying out 2010 Biodiversity Targets National Assessments - Phases III"
"698",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,3920,"Support to GEF Eligible CBD Parties for carrying out 2010 Biodiversity Targets National Assessments - Phases III"
"710",218905.875,1614.1097412109,512.6534954407,12.4491539001,945.5089285714,696.5036010742,1,62.8142633771,-12.23333,44.44553,NA,NA,NA,NA,NA,NA,0.6183574879,1680.88745117,1,3,NA,NA,NA,NA,3,3920,"Support to GEF Eligible CBD Parties for carrying out 2010 Biodiversity Targets National Assessments - Phases III"
"798",2142.6162109375,11966.13671875,477.1577017115,6.9716615677,1165.125,22.7056598663,0,94.50297125,-18,178,529.6,55.95,246.8583333333,25.95,21.35,23.9416666667,0,2120.10498047,1,3,0.101694172561335,0.101694172561335,29.5002154444062,0.101694172561335,3,3819,"PAS: Forestry and Protected Area Management"
"800",NA,NA,NA,NA,NA,NA,0,0,-16,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1,1,NA,NA,NA,NA,3,3819,"PAS: Forestry and Protected Area Management"
"880",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"883",NA,NA,NA,NA,NA,NA,0,0,-16,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1,1,NA,NA,NA,NA,3,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"906",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,2820,"Supporting the Development and Implementation of Access and Benefit Sharing Policies in Africa"
"1055",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,4070,"The GEF Earth Fund: Greening the Cocoa Industry - Market Transformation"
"1064",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,4070,"The GEF Earth Fund: Greening the Cocoa Industry - Market Transformation"
"1085",1705.0784912109,6883.5268554688,774.2848399247,11.9781827927,843.7678571429,1.4878486395,0,66.3516011069,-43.61876,-71.80434,224.6,71.55,155.2,7.85,-7.05,1.1041666667,0,2561.35839844,1,3,0.897721604692123,0.897721604692123,3.34179325118154,0.897721604692123,-3,3951,"Expanding FSC Certification at Landscape-level through Incorporating Additional Eco-system Services."
"1112",218905.875,1614.1097412109,512.6534954407,12.4491539001,945.5089285714,696.5036010742,1,62.8142633771,-12.23333,44.44553,NA,NA,NA,NA,NA,NA,0.6183574879,1680.88745117,1,3,NA,NA,NA,NA,3,4623,"Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD  - Phase II"
"1170",2152.4204101563,1902.5842285156,540.2254509018,0.6639997959,269.1297709924,1.4619045258,0,1.092165716,39.76,-98.5,132.2,0.3,41.0083333333,27.7,0.3,12.3833333333,0.7561904762,2545.71508789,1,0,0.392244369777191,0.392244369777191,0,0.392244369777191,-3,4527,"Partnering for Natural Resource Management - Conservation Council of Nations (CCN)"
"1178",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,4527,"Partnering for Natural Resource Management - Conservation Council of Nations (CCN)"
"1196",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,4513,"Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase 1"
"1209",NA,NA,NA,NA,NA,NA,0,0,-16,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1,1,NA,NA,NA,NA,3,4513,"Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase 1"
"1255",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,9347,"Support to Eligible Parties for the Revision of NBSAPs and Development of the Fifth National Report to the CBD (Phase III)"
"1293",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,5880,"Knowledge for Action: Promoting Innovation Among Environmental Funds"
"1346",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,5810,"Spatial Planning for Protected Areas in Response to Climate Change (SPARC)"
"1356",2356.8471679688,2732.7355957031,1553.0139225182,4.5801939964,162.8532110092,74.011177063,0,9.6270248659,-20,47,328.65,1.075,143.91875,21.6,14.4,18.3395833333,0.2850574713,2305.43896484,1,3,0.356340352980057,0.356340352980057,8.41891740553982,0.356340352980057,3,5784,"Mainstreaming Biodiversity Conservation and Sustainable Management in Priority Socio Ecological Production Landscapes and Seascapes (SEPLS)"
"1431",218905.875,1614.1097412109,512.6534954407,12.4491539001,945.5089285714,696.5036010742,1,62.8142633771,-12.23333,44.44553,NA,NA,NA,NA,NA,NA,0.6183574879,1680.88745117,1,3,NA,NA,NA,NA,3,5731,"Strengthening Human Resources, Legal Frameworks and Institutional Capacities to Implement the Nagoya Protocol"
"1518",2142.6162109375,11966.13671875,477.1577017115,6.9716615677,1165.125,22.7056598663,0,94.50297125,-18,178,529.6,55.95,246.8583333333,25.95,21.35,23.9416666667,0,2120.10498047,1,3,0.101694172561335,0.101694172561335,29.5002154444062,0.101694172561335,3,5688,"UNEP-GEF Project for Sustainable Capacity Building for Effective Participation in the Biosafety Clearing House (BCH)"
"1540",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,5688,"UNEP-GEF Project for Sustainable Capacity Building for Effective Participation in the Biosafety Clearing House (BCH)"
"1558",NA,NA,NA,NA,NA,NA,0,0,-16,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1,1,NA,NA,NA,NA,3,5634,"Ratification and Implementation of the Nagoya Protocol in the Countries of the Pacific Region "
"1562",2763.2888183594,69952.5703125,825.2055820286,13.6734228134,1059.1867007673,14.8039703369,0,78.9100713835,-6,147,238.15,49.65,153.0833333333,13.7,11.2,12.5666666667,0,1448.40283203,1,3,0.230491183986649,0.230491183986649,13.0156821970847,0.230491183986649,3,5634,"Ratification and Implementation of the Nagoya Protocol in the Countries of the Pacific Region "
