"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"2737",1000,34885.52734375,584,0.616008222103119,1630,0.250572293996811,1,0,-27.410075,15.904903,18.5,0,6.28333333333333,17.9,10.5,14.5416666666667,0,1303.2791748,1,0,0.232956503677863,0.232956503677863,0,0.232956503677863,-3,2492,"Strengthening the Protected Area Network (SPAN)"
"2738",1000,34885.52734375,584,0.616008222103119,1630,0.250572293996811,1,0,-27.410075,15.904903,18.5,0,6.28333333333333,17.9,10.5,14.5416666666667,0,1303.2791748,1,0,0.232956503677863,0.232956503677863,0,0.232956503677863,-3,2492,"Strengthening the Protected Area Network (SPAN)"
"2914",NA,NA,NA,NA,NA,NA,1,0,-6.652397,121.148605,NA,NA,NA,NA,NA,NA,0,555.647521973,1,0,NA,NA,NA,NA,3,NA,""
"2915",487954.90625,2000,512,6.01061630249023,213,177.567504882812,0,90,-20.429189,57.502724,425.7,25.6,129.516666666667,27.1,21.1,24.175,6,2284.80249023,1,3,0.913002341749066,0.913002341749066,3.28586232785867,0.913002341749066,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2916",484792.75,3000,375,12.2254009246826,41,774.379821777344,0,72,-20.346173,57.463007,NA,NA,NA,NA,NA,NA,9,2545.97314453,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2917",486967.15625,0,689,3.16222643852234,63,102.843101501465,0,95,-20.425248,57.486771,NA,NA,NA,NA,NA,NA,6,2248.13916016,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2918",404753,3162.27758789062,1824,8.401047706604,216,283.059906005859,1,90,-21.198384,55.723886,471.6,36.2,226.558333333333,19.1,13.2,16.1916666666667,0,1566.79675293,1,3,0.95654366559083,0.95654366559083,3.13629174277892,0.95654366559083,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2919",485782.875,1000,553,1.15947270393372,39,774.379821777344,0,97,-20.351065,57.491061,NA,NA,NA,NA,NA,NA,15,2584.88891602,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2920",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2921",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2922",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2923",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2924",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2925",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2926",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"2927",484991.75,2236.06787109375,718,6.00445413589478,54,34.6806411743164,1,97,-20.42741,57.438944,NA,NA,NA,NA,NA,NA,5,2356.66162109,1,3,NA,NA,NA,NA,3,3526,"Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius"
"3001",NA,NA,NA,NA,NA,NA,1,0,-9.416804,46.342949,NA,NA,NA,NA,NA,NA,0,1153.25683594,1,3,NA,NA,NA,NA,3,3925,"Strengthening Seychelles' Protected Area System through NGO Management Modalities"
