"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","GEF.Project.Grant.CEO.endorse.stage","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"452",362303.625,999.3449707031,35.3783783784,1.5244404078,551.385620915,65.5300140381,0,0,16.8218377,-22.913311,NA,NA,NA,NA,NA,NA,1.9158878505,441.599273682,9.85897960784,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"453",361877.78125,936.1428222656,33.4207708779,1.3364082575,539.0167364017,65.5300064087,0,0,16.747937,-22.92688,NA,NA,NA,NA,NA,NA,3.0951276102,468.466949463,9.92035334504,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"454",360825.15625,745.2341308594,24.3575883576,0.8592492342,514.062992126,65.5300140381,0,0,16.6580968,-22.886173,NA,NA,NA,NA,NA,NA,3.5271867612,414.715087891,9.9547039717,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"456",336754.84375,1543.7595214844,47.0555555556,1.3419834375,438.7046979866,6.487203598,0,2.58430714725e-05,15.9688389,-22.789457,NA,NA,NA,NA,NA,NA,0,522.000671387,10.3887879663,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"457",360696.8125,763.1428833008,23.7078651685,0.8704612255,513.2857142857,65.5300140381,0,0,16.6500169,-22.88333,NA,NA,NA,NA,NA,NA,3.351981352,413.839233398,9.95841315668,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"458",476374.4375,1031.9197998047,124.414271556,5.8304400444,47.8461538462,235.4564971924,0,0.0636779378,16.8472772,-24.97742,159.5,0,27.3333333333,26.5,22.4,23.9916666667,6.8192488263,531.610900879,11.4135711164,3100000,1,3,0.918235230229578,0.918235230229578,3.26713667831056,0.918235230229578,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"460",6025.9853515625,2095.69921875,844.4564102564,7.9322075844,253.5655339806,18.3800487518,1,73.4563096387,3.50000319,8.7,291.9,0,144.45,25.5,23.3,24.575,0.1127098321,1098.04199219,5.37238109473,1768182,1,0,0.999432461014876,0.999432461014876,0,0.999432461014876,-2.17123630566007,3757,"CBSP – Strengthening the National System of protected areas in Equatorial Guinea for the effective conservation of representative ecosystems and globally significant biodiversity"
"465",1289.5385742188,12342.3994140625,294.8459657702,0.340739429,1018.662037037,0.1451878101,0,0,18.0000186,-2,40.425,0,8.1541666667,36.375,21.6,30.05,0,1041.79174805,3.42172009005,1768000,1,1,0.903708190098161,0.903708190098161,1.10655188362449,0.903708190098161,-2.17123630566007,3763,"SPWA-BD: Expansion and Strengthening of Mali's PA System"
"495",1289.5385742188,12342.3994140625,294.8459657702,0.340739429,1018.662037037,0.1451878101,0,0,18.0000186,-2,40.425,0,8.1541666667,36.375,21.6,30.05,0,1041.79174805,3.42172009005,3536363,1,1,0.78214784448055,0.78214784448055,1.27853066022848,0.78214784448055,-2.17123630566007,3781,"SPWA-BD: Evolution of PA systems with regard to climate change in the West Africa Region "
"502",NA,NA,NA,NA,NA,NA,0,0,-16.000016,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1.75197402135,6283750,1,1,NA,NA,NA,NA,-2.17123630566007,3819,"PAS: Forestry and Protected Area Management"
"509",1969.4373779297,2149.1430664063,655.7398568019,1.1046363115,65.9311926606,292.9481811523,0,0.2960401878,22.0000244,79,443.55,0.225,91.775,33.6,18.375,25.2791666667,7.6935123043,2204.42089844,0.488263826835,6023636,1,3,0.84704874481035,0.84704874481035,3.54170880764564,0.84704874481035,2.87617998212688,3936,"IND-BD Mainstreaming Coastal and Marine Biodiversity Conservation into Production Sectors in the Godavari River Estuary in Andhra Pradesh State"
"515",NA,NA,158.9428571429,8.0675458908,280.3684210526,214.8307952881,0,3.3039678195,13.0000126,122,NA,NA,NA,NA,NA,NA,0,1039.62841797,1.1016424461,2500000,1,0,NA,NA,NA,NA,-2.17123630566007,3980,"CTI Integrated Natural Resources and Environmental Management Sector"
"519",1133733.125,394792.5625,25.0673076923,0.9228172302,2200.68,666.241027832,0,0,-0.5170004,166.933,NA,NA,NA,NA,NA,NA,2.23150358,783.56854248,7.04634164711,1740600,1,3,NA,NA,NA,NA,-2.17123630566007,4023,"PAS: Implementing the Island Biodiversity Programme of Work by Integrating the Conservation Management of Island Biodiversity"
"520",NA,NA,NA,NA,NA,NA,0,0,-20.000021,-175,NA,NA,NA,NA,NA,NA,0,493.287780762,1.51185269572,1740600,1,3,NA,NA,NA,NA,-2.17123630566007,4023,"PAS: Implementing the Island Biodiversity Programme of Work by Integrating the Conservation Management of Island Biodiversity"
"521",774717.9375,2552.2849121094,5.1111111111,0.0675106123,1669.25,1048.2550048828,0,0,-8.5171979,179.14478,NA,NA,NA,NA,NA,NA,1.0168674699,661.399414062,8.11067947372,1740600,1,1,NA,NA,NA,NA,-2.17123630566007,4023,"PAS: Implementing the Island Biodiversity Programme of Work by Integrating the Conservation Management of Island Biodiversity"
"522",15198538,672.4438476563,113.6609195402,5.9262189865,2054.2441860465,185.6255950928,0,0,-21.248443,-159.78516,353.5,73.5,164.5666666667,27.4,22,24.6666666667,3.013667426,958.58581543,0.0157939248814,1740600,1,3,0.946482485066457,0.946482485066457,3.16963076161875,0.946482485066457,-2.17123630566007,4023,"PAS: Implementing the Island Biodiversity Programme of Work by Integrating the Conservation Management of Island Biodiversity"
"539",2588.6921386719,94902.1640625,9.2228116711,0.9626227617,156.9634551495,2610.6267089844,0,2.1397822782,22.7707782,113.634846,NA,NA,NA,NA,NA,NA,37.3761261261,893.351928711,0.46386656977,3516400,1,1,NA,NA,NA,NA,-2.17123630566007,4175,"CBPF: Demonstration of Estuarine Biodiversity Conservation, Restoration, and Protected Area Networking "
"540",NA,NA,-0.2087286528,0.0963841677,341.1586715867,NA,0,0.009371453,37.7668145,119.1813,NA,NA,NA,NA,NA,NA,0.1356589147,459.480438232,0.193117696612,3516400,1,3,NA,NA,NA,NA,-2.17123630566007,4175,"CBPF: Demonstration of Estuarine Biodiversity Conservation, Restoration, and Protected Area Networking "
"541",1817.9151611328,8197.458984375,901.0063663075,0.1657969952,254.4041353383,57.2770195007,0,0,41.5000821,85.5,60.65,0.125,12.4770833333,27.975,-6.95,12.5979166667,0,422.60357666,5.71693666701,3544679,1,1,0.947105609928486,0.947105609928486,1.05584846031638,0.947105609928486,-2.17123630566007,4653,"CBPF-MSL: Strengthening the Management Effectiveness of the Protected Area Landscape in Altai Mountains and Wetlands"
"542",1992.2414550781,3965.0659179688,1243.1132075472,2.9362373352,630.2037671233,3.6399512291,0,0.00768895,46.3290044,90.41483,34.95,5.55,12.6541666667,20.8,-18.4,2.7833333333,0,1056.38476562,5.21838662882,3544679,1,2,0.689116663467288,0.689116663467288,2.9022661996548,0.689116663467288,-2.17123630566007,4653,"CBPF-MSL: Strengthening the Management Effectiveness of the Protected Area Landscape in Altai Mountains and Wetlands"
